,Aminoglycoside,Glycopeptide,Lipoglycopeptide,Lipopeptide,Macrolide,Oxazolidinone,Penicilin,Streptogramin,Tetracycline
1352_11979,,S,,,,,,,
1352_11603,,S,,,,,,,
1352_11465,,S,,,,,,,
1352_11592,,S,,,,,,,
1352_1559,,S,,,,,,,
1352_1830,R,R,R,,,S,R,S,S
1352_12002,,R,,,,,,,
1352_18001,,,,R,,,,,
1352_8014,S,S,,,R,,S,,
1352_11942,,S,,,,,,,
1352_11561,,R,,,,,,,
1352_17834,,R,,,R,S,R,,
1352_11846,,R,,,,,,,
1352_18035,,,,R,,,,,
1352_11328,,S,,,,,,,
1352_11460,,S,,,,,,,
1352_11415,,R,,,,,,,
1352_17831,,R,,,,S,R,,
1352_1846,R,S,S,,,S,R,S,S
1352_11833,,R,,,,,,,
1352_1844,R,R,R,,,S,R,S,S
1352_11944,,S,,,,,,,
1352_11324,,R,,,,,,,
1352_12018,,R,,,,,,,
1352_11343,,R,,,,,,,
1352_18002,,,,R,,,,,
1352_10957,,S,,,,,,,
1352_1928,S,R,R,,,S,R,S,S
1352_11274,,R,,,,,,,
1352_7845,,R,,S,,S,,,
1352_1867,R,S,S,,,S,R,S,S
1352_17897,,,,S,,,,,
1352_1549,,R,,,,,,,
1352_11820,,R,,,,,,,
1352_11610,,S,,,,,,,
1352_11277,,S,,,,,,,
1352_1556,,R,,,,,,,
1352_11746,,R,,,,,,,
1352_11626,,S,,,,,,,
1352_1552,,S,,,,,,,
1352_17822,R,R,,,R,S,R,,
1352_18047,,,,S,,,,,
1352_11427,,S,,,,,,,
1352_1506,,S,,,,,,,
1352_11711,,S,,,,,,,
1352_11980,,S,,,,,,,
1352_11794,,R,,,,,,,
1352_11494,,S,,,,,,,
1352_11715,,R,,,,,,,
1352_1493,,S,,,,,,,
1352_11824,,R,,,,,,,
1352_1571,,R,,,,,,,
1352_11974,,S,,,,,,,
1352_17974,,,,R,,,,,
1352_7844,,,,S,,R,,,
1352_17995,,,,S,,,,,
1352_10970,,R,,,,,,,
1352_11533,,R,,,,,,,
1352_8030,S,S,,,R,,S,,
1352_11450,,S,,,,,,,
1352_10949,,R,,,,,,,
1352_1498,,S,,,,,,,
1352_11660,,S,,,,,,,
1352_17958,,,,S,,,,,
1352_10945,,R,,,,,,,
1352_1851,S,R,R,,,S,R,R,S
1352_17936,,,,S,,,,,
1352_11330,,R,,,,,,,
1352_11989,,S,,,,,,,
1352_1877,R,R,R,,,S,R,S,S
1352_17814,,S,,,R,S,R,,
1352_1578,,S,,,,,,,
1352_1833,R,R,R,,,S,R,S,S
1352_17996,,,,S,,,,,
1352_8047,S,S,,,R,,S,,
1352_18071,S,R,R,R,,S,R,S,S
1352_17874,,,,R,,,,,
1352_11933,,S,,,,,,,
1352_11870,,R,,,,,,,
1352_11568,,S,,,,,,,
1352_1470,,S,,,,,,,
1352_11819,,R,,,,,,,
1352_11317,,R,,,,,,,
1352_8017,S,S,,,R,,S,,
1352_11655,,R,,,,,,,
1352_11439,,S,,,,,,,
1352_11559,,S,,,,,,,
1352_1778,R,R,R,,,S,R,S,S
1352_11358,,S,,,,,,,
1352_11417,,R,,,,,,,
1352_1821,R,R,R,,,S,R,S,S
1352_11492,,R,,,,,,,
1352_11423,,R,,,,,,,
1352_8025,S,S,,,R,,S,,
1352_11727,,R,,,,,,,
1352_11970,,S,,,,,,,
1352_10963,,S,,,,,,,
1352_11409,,S,,,,,,,
1352_17978,,,,R,,,,,
1352_1513,,S,,,,,,,
1352_1567,,R,,,,,,,
1352_17873,,,,R,,,,,
1352_11937,,S,,,,,,,
1352_11836,,R,,,,,,,
1352_11329,,S,,,,,,,
1352_11479,,R,,,,,,,
1352_11314,,S,,,,,,,
1352_17991,,,,R,,,,,
1352_10956,,R,,,,,,,
1352_7862,,S,,S,,R,,,
1352_17833,R,R,,,R,S,R,,
1352_11682,,R,,,,,,,
1352_11703,,S,,,,,,,
1352_11544,,R,,,,,,,
1352_11270,,R,,,,,,,
1352_11316,,S,,,,,,,
1352_11681,,S,,,,,,,
1352_11964,,S,,,,,,,
1352_8059,,S,,,R,,,,
1352_17987,,,,R,,,,,
1352_11936,,S,,,,,,,
1352_11365,,S,,,,,,,
1352_11911,,S,,,,,,,
1352_11726,,R,,,,,,,
1352_17972,,,,R,,,,,
1352_1573,,R,,,,,,,
1352_11891,,R,,,,,,,
1352_11706,,S,,,,,,,
1352_7858,,R,,S,,R,,,
1352_17838,,R,,,R,S,R,,
1352_11585,,R,,,,,,,
1352_1471,,S,,,,,,,
1352_17960,,,,S,,,,,
1352_17801,,R,,,R,S,R,,
1352_11705,,R,,,,,,,
1352_17967,,,,R,,,,,
1352_11613,,S,,,,,,,
1352_11907,,S,,,,,,,
1352_1814,S,R,R,,,S,R,R,S
1352_11536,,R,,,,,,,
1352_11620,,R,,,,,,,
1352_11319,,R,,,,,,,
1352_11763,,R,,,,,,,
1352_1482,,S,,,,,,,
1352_18044,,,,S,,,,,
1352_11759,,R,,,,,,,
1352_11929,,S,,,,,,,
1352_11670,,R,,,,,,,
1352_17911,,,,S,,,,,
1352_11550,,S,,,,,,,
1352_18019,,,,S,,,,,
1352_11783,,R,,,,,,,
1352_7884,,R,,S,,R,,,
1352_11477,,R,,,,,,,
1352_11411,,S,,,,,,,
1352_11280,,S,,,,,,,
1352_7871,,R,,S,,R,,,
1352_17933,,,,S,,,,,
1352_17888,,,,S,,,,,
1352_11390,,R,,,,,,,
1352_1469,,S,,,,,,,
1352_1582,,S,,,,,,,
1352_11478,,R,,,,,,,
1352_11834,,R,,,,,,,
1352_11487,,R,,,,,,,
1352_11642,,S,,,,,,,
1352_7868,,R,,S,,R,,,
1352_11827,,R,,,,,,,
1352_11470,,S,,,,,,,
1352_17988,,,,R,,,,,
1352_11260,,S,,,,,,,
1352_17969,,,,R,,,,,
