,Aminoglycoside,B-lactam Combined Agents,Carbapenem,Cephem,Fluoroquinolone,Folate,Macrolide,Oxazolidinone,Penicilin,Phenicol,Tetracycline,nan
590_16654,S,S,,S,S,S,,,S,S,R,
590_12216,S,S,,S,S,S,,,S,R,S,
90370_5487,S,,S,S,R,S,S,,S,S,S,
115981_55,S,S,,S,S,S,S,,S,S,S,
90370_2894,,,,S,R,R,,,S,R,,
85569_199,R,,,,S,R,,S,R,S,R,
28901_839,R,R,,R,S,R,S,,R,R,R,
28901_786,S,S,,S,S,S,S,,S,S,S,
54388_338,S,,,,R,S,S,,S,S,S,
90370_2476,,,,S,S,S,,,S,S,,
28901_828,S,S,,S,S,S,S,,S,S,S,
590_13665,S,S,,S,S,S,,,S,S,S,
58712_76,S,S,,S,S,S,S,,S,S,S,
85569_162,R,,,,S,R,,S,R,R,R,
28901_815,S,S,,S,S,S,S,,S,S,S,
90370_5532,S,,S,S,R,S,S,,S,S,S,
90370_4975,,,,,R,S,,,S,S,,
590_12481,S,S,,S,R,S,,,S,S,R,
85569_355,R,,,,S,R,,,S,S,S,
90370_3161,,,,S,S,S,,,S,S,,
90371_2131,S,R,,R,S,S,,,R,S,S,
90370_3046,,,,S,R,S,,,S,S,,
90370_3018,,,,S,R,S,,,S,S,,
590_12263,S,S,,S,S,S,,,S,S,S,
90371_5335,S,S,,S,S,S,,,S,S,,
90370_3034,,,,S,R,S,,,S,S,,
590_12497,S,S,,S,S,S,,,S,S,S,
90370_220,S,,,S,S,S,,,S,S,S,
28901_8432,,,,S,,S,,,R,,,
590_12339,S,S,,S,S,S,,,S,S,S,
85569_227,R,,,,S,R,,S,R,R,R,
28901_808,R,R,,R,S,R,S,,R,R,R,
590_12618,S,R,,R,S,S,,,R,R,R,
90370_2737,,,,S,R,R,,,R,R,,
28901_9242,,,,,S,S,,,S,,S,
590_12597,S,S,,R,S,S,,,S,S,S,
90370_4130,S,,S,S,S,S,S,,S,S,S,
85569_303,R,,,,S,R,,S,R,R,R,
59201_4092,,,S,S,R,S,,,S,S,,
90371_2931,S,S,,S,S,S,S,,S,S,S,
590_12370,S,S,,S,S,S,,,S,S,R,
90370_3318,,,,,R,,,,,,,
590_15962,S,S,,S,S,S,,,S,S,R,
90370_3042,,,,S,R,S,,,S,S,,
28901_792,R,R,,R,S,R,S,,R,R,R,
90370_2757,,,,S,R,R,,,R,R,,
85569_47,R,,,,S,R,,S,R,R,R,
90370_3588,,,,,R,S,,,S,S,,
54388_301,S,,,,S,S,S,,S,S,S,
149539_888,S,,,,,S,,,S,S,S,
590_12478,R,S,,S,S,S,,,S,S,R,
90371_5270,R,R,,S,R,S,,,R,R,,
90370_3546,,,,,R,S,,,S,S,,
28901_854,R,S,,S,S,R,S,,S,S,R,
399587_62,S,S,S,S,S,R,R,,R,S,R,
108619_41,R,R,,R,S,R,,,R,R,R,
590_12415,S,S,,S,S,S,,,R,S,R,
90370_2919,,,,S,R,S,,,S,R,,
590_12604,S,S,,S,S,S,,,S,S,R,
90370_4957,,,,,R,S,,,S,S,,
90370_608,S,,,,S,S,,,S,S,S,
28901_16298,R,,,S,S,R,,,R,S,R,
98360_95,S,R,,R,S,R,,,R,R,R,
54388_322,S,,,,S,S,S,,S,S,S,
90371_2138,R,R,,R,S,R,,,R,S,R,
590_16738,R,S,,S,S,S,,,R,S,R,
149391_46,S,S,,S,S,S,S,,S,S,S,
90371_5357,S,S,,S,S,S,,,R,S,,
90370_3469,,,,,S,S,,,S,S,,
90371_5374,S,S,,S,S,R,,,R,R,,
90370_5536,,,,,R,,,,,,,
192955_383,R,,,S,R,R,S,,R,S,R,
90371_5456,R,,S,S,S,R,,,R,R,R,
90370_3259,,,,,R,,,,,,,
85569_150,R,,,,R,R,,S,R,S,R,
192955_399,S,,,S,R,S,S,,S,S,S,
590_12556,S,S,,S,S,S,,,S,S,R,
108619_144,S,S,,S,S,S,S,,S,S,S,
1160739_3,S,S,,S,S,S,S,,S,S,S,
590_13616,S,S,,S,S,S,,,S,S,R,
590_12338,R,S,,R,R,R,,,R,R,R,
90370_2497,,,,S,R,S,,,R,S,,
149539_894,S,,,,,R,,,R,S,S,
590_12184,S,S,,S,S,S,,,S,S,S,
90370_3411,,,,,R,S,,,S,S,,
590_12559,S,S,,S,S,S,,,S,R,R,
85569_116,R,,,,S,R,,S,R,R,R,
28901_835,R,R,,S,S,R,S,,R,R,R,
90370_2990,,,,S,R,S,,,R,S,,
90370_3539,,,,,R,S,,,S,S,,
85569_210,R,,,,S,R,,S,S,S,S,
192955_414,R,,,S,R,R,R,,R,R,R,
590_17045,S,S,,S,R,S,,,S,R,R,
85569_14,R,,,,S,R,,,R,R,R,
59201_4101,,,S,S,R,S,,,S,S,,
90370_4116,S,,S,S,S,S,S,,S,S,S,
90370_2686,,,,S,R,R,,,R,R,,
90370_5512,S,,S,S,R,S,S,,S,S,S,
590_12568,S,S,,S,S,S,,,S,S,R,
90370_3131,,,,S,R,S,,,S,S,,
590_12350,S,S,,S,S,S,,,R,S,S,
85569_375,R,,,,S,R,,S,R,R,R,
590_15381,S,R,,S,S,S,,,R,S,R,
590_14807,S,S,,S,S,S,,,S,S,S,
90371_2470,R,R,,S,S,R,,,R,R,R,
85569_113,R,,,,S,R,,S,R,R,R,
590_16282,S,S,,S,S,S,,,S,S,R,
90371_5474,S,,S,R,S,R,,,R,R,R,
590_16909,S,S,,S,S,S,,,S,S,R,
590_15204,S,S,,R,R,S,,,S,R,S,
108619_97,R,R,,R,S,R,,,R,R,R,
85569_93,R,,,,S,R,,S,R,S,S,
108619_157,S,S,,S,S,S,S,,S,S,S,
590_12369,S,S,,S,S,S,,,S,S,S,
85569_31,R,,,,S,R,,,R,R,R,
90371_2480,R,R,,R,R,R,,,R,R,R,
85569_125,R,,,,S,R,,S,S,S,R,
595_118,S,S,,S,R,R,,,S,S,R,
590_12354,S,R,,S,S,S,,,R,S,S,
90370_4858,,,,,R,R,,,R,R,,
90371_5370,S,S,,S,R,S,,,R,R,,
85569_194,R,,,,R,R,,S,R,R,R,
85569_111,R,,,,S,R,,S,R,R,R,
58712_61,S,S,,S,S,S,S,,S,S,S,
54388_413,S,,S,S,S,S,S,,S,S,S,
90371_3117,,,,S,,S,,,R,R,,
590_12397,S,S,,S,S,S,,,S,S,R,
90370_4092,S,,S,S,R,R,S,,R,R,S,
192955_442,S,,,S,R,S,S,,S,S,S,
90370_5530,S,,S,S,R,S,S,,S,R,R,
90370_2937,,,,S,R,S,,,S,S,,
85569_192,R,,,,S,R,,S,R,R,R,
58712_97,R,S,,R,S,R,S,,R,R,R,
590_12273,S,S,,S,S,S,,,S,S,R,
590_13922,S,S,,S,S,S,,,S,R,R,
85569_99,R,,,,S,R,,S,R,R,R,
90371_5389,R,R,,S,S,S,,,R,R,,
90370_3487,,,,,S,S,,,S,S,,
90371_5241,S,S,,S,S,S,,,S,R,,
90371_5455,S,,S,R,S,R,,,R,R,R,
54388_244,,,,,R,S,,,S,S,,
90370_4892,,,,,R,S,,,S,S,,
90370_2792,,,,S,R,R,,,R,R,,
399587_68,S,S,S,S,S,R,S,,R,R,R,
590_11958,S,S,,S,S,S,,,S,S,R,
54388_205,,,,,R,S,,,S,S,,
90370_3352,,,,,R,,,,,,,
85569_358,R,,,,S,R,,,R,R,R,
108619_44,R,R,,R,S,R,,,R,R,R,
590_17183,S,R,,S,S,S,,,R,S,R,
590_12374,S,R,,R,S,S,,,R,S,S,
590_16039,S,R,,S,S,S,,,R,R,R,
90371_5425,R,S,,S,R,S,,,R,R,,
28901_766,R,S,,S,R,R,S,,S,R,R,
590_12066,S,S,,S,S,S,,,S,S,R,
192955_402,R,,,S,R,R,S,,R,S,R,
90371_5489,S,,S,S,S,R,,,R,R,S,
90370_3009,,,,S,R,S,,,S,S,,
85569_184,R,,,,S,R,,S,R,R,R,
28901_16278,S,,,S,,S,,,R,,,
85569_247,R,,,,S,R,,S,R,R,R,
90370_5502,S,,S,S,R,R,S,,R,R,R,
90370_3147,,,,S,S,S,,,S,S,,
590_15687,S,S,,S,S,S,,,S,S,S,
590_14606,S,S,,S,S,S,,,S,R,S,
90371_5409,S,S,,S,S,S,,,S,S,,
98360_72,S,R,,R,S,R,,,R,R,R,
108619_182,S,S,,S,S,R,S,,S,S,S,
590_15589,R,S,,S,S,S,,,S,S,S,
54388_396,S,,S,S,R,S,S,,S,S,S,
85569_266,R,,,,S,R,,S,R,R,R,
486999_9,S,S,,S,S,S,S,,S,S,S,
98360_92,R,R,,R,S,R,,,R,R,R,
28901_21086,,,S,R,R,R,,,R,,,
590_12456,S,S,,S,S,S,,,S,S,R,
85569_346,R,,,,S,R,,S,R,R,R,
590_12619,S,S,,S,S,S,,,S,S,R,
90370_710,S,,,S,S,S,,,S,S,S,
90370_5524,S,,S,S,R,S,S,,S,S,S,
90370_3403,,,,,R,S,,,S,S,,
85569_161,R,,,,S,R,,S,R,R,R,
28901_818,R,S,,S,S,R,S,,S,S,R,
90370_2822,,,,S,R,R,,,R,R,,
58712_62,S,S,,S,S,S,S,,S,S,S,
90370_4820,,,,,R,S,,,S,S,,
590_12577,S,S,,S,S,S,,,S,S,S,
28901_21122,R,S,S,R,R,S,,,R,S,S,
90370_4884,,,,,R,S,,,S,S,,
590_12050,S,R,,S,S,S,,,R,S,R,
590_16951,S,S,,S,S,S,,,S,S,R,
590_15846,S,S,,S,S,S,,,S,S,R,
90371_2942,R,R,,R,S,R,S,,R,R,R,
85569_226,R,,,,S,R,,S,R,R,R,
90371_6237,R,,,,S,S,,,S,S,S,
108619_168,S,S,,S,S,S,S,,S,S,S,
590_12479,S,R,,R,S,S,,,R,R,R,
90370_3102,,,,S,R,S,,,S,S,,
54388_336,S,,,,S,S,S,,S,S,S,
90371_5273,R,S,,S,R,S,,,R,R,,
90370_3288,,,,,R,,,,,,,
90370_3195,,,,S,S,S,,,S,S,,
590_11963,S,S,,S,S,S,,,S,S,R,
90370_3480,,,,,R,S,,,S,S,,
90371_5287,S,S,,S,S,S,,,S,S,,
149539_893,S,,,,,S,,,S,S,S,
90370_3549,,,,,R,S,,,S,S,,
192955_438,S,,,S,S,S,S,,S,S,S,
108619_94,R,R,,R,S,R,,,R,R,R,
46626_39,S,S,,S,S,S,S,,S,S,S,
28901_805,R,R,,S,R,R,S,,R,S,R,
90370_3076,,,,S,R,S,,,,S,,
192955_441,R,,,S,R,R,S,,R,S,R,
590_12335,S,S,,S,S,S,,,S,S,S,
54388_295,S,,,,S,S,S,,S,S,S,
90370_2868,,,,S,R,R,,,R,R,,
590_13917,S,S,,S,S,S,,,S,S,R,
90370_3586,,,,,R,S,,,S,S,,
54388_330,S,,,,R,S,S,,S,S,S,
85569_112,R,,,,S,S,,S,R,R,S,
590_12296,S,R,,R,S,S,,,R,R,R,
399587_60,S,S,S,S,S,S,S,,R,S,S,
590_14431,S,R,,R,S,S,,,R,R,R,
90370_4934,,,,,R,S,,,S,S,,
90371_5459,S,,S,S,S,R,,,R,R,S,
90371_5305,S,S,,S,S,S,,,R,S,,
85569_177,R,,,,S,R,,S,R,R,R,
90370_2738,,,,S,R,R,,,R,R,,
590_12513,S,S,,S,S,S,,,S,S,R,
85569_142,R,,,,S,R,,S,R,R,R,
85569_16,R,,,,S,R,,,R,R,R,
108619_184,S,S,,S,S,S,S,,S,S,S,
108619_173,S,S,,S,S,S,S,,S,S,S,
59201_4182,,,S,S,S,S,S,,S,S,S,
90370_559,S,,,S,S,S,,,S,S,S,
28901_791,S,S,,S,R,R,S,,R,R,R,
90370_5218,,,,,R,,,,,,,
590_14857,S,S,,S,S,S,,,S,S,R,
590_16663,S,R,,R,S,S,,,R,S,R,
90370_2964,,,,S,R,S,,,R,S,,
590_12553,S,S,,S,S,S,,,S,S,S,
590_12319,S,S,,S,S,S,,,S,S,R,
90371_5254,S,S,,S,S,S,,,R,R,,
90371_5480,S,,S,R,S,R,,,R,R,R,
90370_582,S,,,,S,S,,,S,S,S,
90370_3029,,,,S,R,S,,,S,S,,
90370_2911,,,,S,R,S,,,S,R,,
590_15494,S,S,,S,S,S,,,S,S,R,
28901_789,S,R,,S,S,R,S,,R,S,R,
590_13741,S,S,,S,S,S,,,S,S,R,
590_13812,S,S,,S,S,S,,,S,S,R,
54388_218,,,,,R,S,,,S,S,,
90105_138,S,S,,S,S,S,S,,S,S,S,
90370_4839,,,,,R,S,,,S,S,,
590_16073,S,S,,S,S,S,,,S,S,R,
399587_87,S,S,S,S,S,R,S,,R,R,R,
54388_211,,,,,R,S,,,S,S,,
590_12220,S,S,,S,S,S,,,R,S,R,
28901_21069,,,S,R,S,R,,,R,,,
54388_196,,,,,R,S,,,S,S,,
90370_2494,,,,S,S,S,,,S,S,,
90370_4816,,,,,R,S,,,S,S,,
90370_2726,,,,S,R,R,,,R,R,,
590_15805,R,R,,R,S,R,,,R,S,R,
90370_4844,,,,,R,S,,,S,S,,
590_12493,S,S,,S,S,S,,,S,S,S,
590_12469,S,S,,S,S,S,,,S,S,S,
90370_3587,,,,,R,S,,,S,S,,
90371_5328,S,S,,S,S,S,,,S,S,,
590_16726,S,S,,S,S,S,,,S,S,R,
90370_2796,,,,S,R,R,,,R,R,,
85569_130,R,,,,S,R,,S,R,R,R,
108619_91,R,R,,R,S,R,,,R,R,R,
595_144,S,S,,S,S,S,S,,S,S,S,
108619_92,R,R,,R,S,R,,,R,R,R,
90370_3070,,,,S,R,S,,,S,S,,
90371_2471,R,R,,S,S,R,,,R,R,R,
90371_5343,S,S,,S,S,S,,,S,S,,
85569_55,R,,,,S,R,,S,R,R,R,
90371_5501,S,,S,R,S,R,,,R,R,R,
590_12307,S,S,,S,S,S,,,S,S,S,
595_96,R,S,,S,R,R,,,S,S,R,
90370_3082,,,,S,R,S,,,S,S,,
399587_72,S,R,S,S,S,R,R,,R,S,R,
54388_328,S,,,,R,S,S,,S,S,S,
590_12544,S,S,,S,S,S,,,S,S,S,
590_12186,S,R,,R,S,S,,,R,R,R,
90371_5350,S,S,,S,S,S,,,S,S,,
590_16130,R,R,,R,S,R,,,R,R,R,
28901_21057,,,S,R,R,R,,,R,,,
590_12311,S,S,,S,S,S,,,S,S,R,
590_16202,S,S,,S,S,S,,,R,S,R,
590_14417,S,R,,R,S,S,,,R,S,S,
28901_21074,,,S,R,S,R,,,R,,,
85569_165,R,,,,S,R,,S,R,S,S,
590_12557,S,S,,S,S,S,,,S,S,S,
90370_5513,S,,S,S,R,S,S,,S,S,S,
90370_4947,,,,,R,S,,,S,S,,
90370_2517,,,,R,S,S,,,R,S,,
85569_317,R,,,,R,R,,S,R,R,R,
590_16971,S,S,,S,R,S,,,R,S,R,
54388_335,S,,,,S,S,S,,S,S,S,
54388_201,,,,,R,S,,,S,S,,
590_16246,S,S,,S,S,S,,,S,S,R,
59201_4121,,,S,R,S,R,S,,R,R,S,
399587_46,S,S,S,S,S,R,R,,R,R,R,
590_12508,S,S,,S,S,S,,,S,S,S,
90370_3440,,,,,R,S,,,S,S,,
28901_846,S,S,,S,S,S,S,,S,S,S,
192955_397,R,,,S,R,R,S,,R,S,R,
590_16852,S,S,,S,S,S,,,S,S,R,
59201_4136,,,S,R,S,R,S,,R,R,S,
85569_307,R,,,,R,R,,S,S,S,S,
590_12440,S,S,,S,S,S,,,S,S,R,
90371_5313,R,S,,S,R,R,,,R,S,,
590_15295,S,S,,S,S,S,,,R,S,R,
85569_62,S,,,,S,S,,S,S,S,S,
85569_149,R,,,,S,R,,S,R,R,R,
98360_96,R,R,,R,S,R,,,R,R,R,
192955_379,R,,,S,R,R,S,,R,S,R,
590_12233,R,S,,S,S,S,,,S,S,R,
90370_5473,S,,S,S,R,S,S,,S,S,S,
90370_2790,,,,S,R,R,,,R,R,,
192955_410,R,,,S,R,R,S,,R,S,R,
590_12570,S,S,,S,S,S,,,S,S,R,
595_117,R,S,,S,R,R,,,S,S,R,
192955_375,S,,,S,R,S,S,,R,S,S,
598_24,S,S,,S,S,S,S,,S,S,S,
590_12334,S,S,,S,S,S,,,S,S,R,
58712_73,S,S,,S,S,S,S,,S,S,S,
90370_3536,,,,,R,S,,,S,S,,
90371_5359,R,R,,S,R,R,,,R,R,,
108619_93,R,R,,R,S,R,,,R,R,R,
590_17084,S,S,,S,S,S,,,S,S,R,
598_34,R,S,,R,S,R,S,,R,R,R,
90370_3053,,,,S,R,S,,,S,S,,
59201_4091,,,S,S,R,S,,,S,S,,
58712_84,S,S,,S,S,S,S,,S,S,S,
590_16682,S,S,,S,S,S,,,R,S,R,
85569_173,R,,,,S,R,,S,R,R,R,
399587_83,S,R,S,S,S,R,R,,R,S,R,
590_16987,S,S,,S,S,S,,,S,S,R,
90371_6243,R,,,,,S,,,S,S,S,
486994_10,S,S,,S,S,S,S,,S,S,S,
590_12519,R,S,,S,S,S,,,S,S,R,
595_143,S,S,,S,S,S,S,,S,S,S,
149391_27,S,S,,S,S,S,S,,S,S,S,
90370_4125,S,,S,S,S,S,S,,S,S,S,
90370_2684,,,,S,R,R,,,R,R,,
85569_304,R,,,,R,R,,S,R,R,R,
590_17141,S,S,,S,S,S,,,S,S,R,
590_14795,S,S,,S,S,S,,,S,S,R,
90370_4808,,,,,R,S,,,S,S,,
192955_382,R,,,S,R,R,S,,R,S,R,
108619_179,S,S,,S,S,S,S,,S,S,S,
590_15005,S,S,,S,S,S,,,S,R,R,
590_17195,S,S,,S,S,S,,,S,S,R,
54388_416,S,,S,S,S,S,S,,S,S,S,
90370_4791,,,,,R,S,,,S,S,,
28901_863,S,S,,S,S,S,S,,S,S,S,
590_14666,S,S,,S,S,S,,,S,S,R,
1243597_3,S,S,,S,S,S,S,,S,S,S,
90370_3457,,,,,R,S,,,S,S,,
28901_21056,,,S,R,S,R,,,R,,,
590_12232,R,R,,R,S,S,,,R,R,R,
399587_99,S,R,S,S,S,R,R,,R,R,R,
90370_2475,,,,S,R,R,,,R,R,,
590_16956,S,S,,S,S,S,,,S,S,R,
90371_5363,S,S,,S,S,S,,,R,S,,
28901_763,S,S,,S,S,S,S,,S,S,S,
28901_1897,R,S,,S,,R,,,R,S,R,
28901_21063,,,S,R,S,R,,,R,,,
90370_3511,,,,,R,S,,,S,S,,
90370_2843,,,,S,R,R,,,R,R,,
149391_36,S,S,,S,S,S,S,,S,S,S,
85569_281,R,,,,S,R,,S,R,R,R,
590_12526,S,S,,S,S,S,,,S,S,S,
90370_3490,,,,,R,S,,,S,S,,
90370_5475,S,,S,S,R,R,S,,R,R,R,
399587_90,S,S,S,S,S,R,S,,R,R,R,
590_12198,S,S,,S,S,S,,,S,S,S,
28901_782,R,S,,S,S,S,S,,S,S,R,
590_12486,S,S,,S,S,S,,,S,S,R,
90371_2477,R,R,,S,R,R,,,R,R,R,
28901_10092,S,S,,S,,S,,,S,S,S,
399587_79,S,S,S,S,S,R,R,,R,R,R,
90370_688,S,,,,S,S,,,S,S,S,
90370_3585,,,,,R,S,,,S,S,,
590_16969,S,S,,S,S,S,,,S,S,R,
90370_3007,,,,S,R,S,,,S,S,,
90370_154,S,,,,S,S,,,S,S,S,
149539_883,R,,,,,S,,,S,S,S,
90370_5490,S,,S,S,R,R,S,,R,R,R,
590_16915,S,R,,R,S,S,,,R,S,R,
108619_100,R,R,,R,S,R,,,R,S,R,
58712_94,S,S,,S,S,S,S,,S,S,S,
590_14449,S,R,,R,S,S,,,R,R,R,
58712_71,R,S,,S,S,S,S,,S,S,S,
59201_4143,,,S,R,S,R,S,,R,R,S,
90371_5324,S,S,,S,S,S,,,S,S,,
590_15997,S,S,,S,S,S,,,S,S,R,
28901_788,R,S,,S,S,R,S,,S,S,S,
90370_1481,S,,,S,S,S,,,S,S,S,
590_12400,S,R,,R,S,S,,,R,S,R,
590_12052,R,S,,S,S,S,,,R,S,R,
90371_5307,R,R,,S,R,R,,,R,R,,
54388_212,,,,,R,S,,,S,S,,
85569_145,S,,,,S,R,,S,R,S,R,
590_16924,S,S,,S,R,S,,,S,S,R,
590_12402,S,S,,S,S,S,,,S,S,R,
90370_2881,,,,S,R,R,,,S,R,,
90371_5342,S,S,,S,S,S,,,S,S,,
28901_21407,S,,S,S,S,S,S,,S,S,S,
595_149,S,S,,S,S,S,S,,S,S,S,
28901_10083,S,S,,S,,R,,,S,S,R,
90371_5283,S,R,,S,R,S,,,R,R,,
54388_282,S,,,,S,S,S,,S,S,S,
590_15724,S,S,,S,S,S,,,S,S,R,
28901_21065,,,S,R,R,R,,,R,,,
85569_64,R,,,,S,R,,S,R,R,R,
85569_272,R,,,,S,R,,S,R,R,R,
28901_16313,R,,,S,S,R,,,R,S,R,
28901_16255,R,,,S,,R,,,R,,,
85569_249,R,,,,S,R,,S,R,R,R,
90370_3620,R,R,S,R,R,R,S,,R,R,S,
149539_896,R,,,,,R,,,R,R,R,
85569_324,S,,,,S,S,,S,S,S,S,
590_12332,S,S,,S,S,S,,,S,S,S,
590_12466,S,S,,S,S,S,,,S,S,R,
90370_4842,,,,,R,S,,,S,S,,
90370_5214,,,,,R,,,,,,,
590_12625,R,S,,R,S,S,,,R,R,R,
85569_250,R,,,,S,R,,S,R,R,R,
90371_2489,R,R,,R,R,R,,,R,R,R,
90370_2781,,,,S,R,R,,,R,R,,
108619_50,R,R,,R,S,R,,,R,R,R,
590_12517,S,S,,S,S,S,,,S,S,R,
590_14800,R,S,,S,S,S,,,R,S,R,
590_12444,S,S,,S,S,S,,,S,S,R,
28901_16279,S,,,S,,S,,,R,,,
90370_2703,,,,S,R,R,,,R,R,,
590_12314,S,S,,S,S,S,,,S,S,R,
28901_761,S,S,,S,S,S,S,,S,R,R,
54388_291,S,,,,R,S,S,,S,S,S,
590_14654,S,R,,R,S,S,,,R,S,R,
192955_370,R,,,S,R,S,S,,S,S,S,
590_13974,S,S,,S,S,S,,,S,S,R,
28901_21073,,,S,R,S,R,,,R,,,
90370_3275,,,,,R,,,,,,,
590_12450,S,S,,S,S,R,,,R,S,R,
340188_39,S,S,,S,S,S,S,,S,S,S,
90370_1543,S,,,,S,S,,,S,S,S,
108619_154,S,S,,S,S,S,S,,S,S,S,
82689_62,R,S,,S,S,R,S,,S,S,R,
192955_385,R,,,S,R,R,S,,R,S,R,
85569_56,R,,,,S,R,,S,S,S,R,
192955_405,S,,,S,R,S,S,,S,S,S,
90370_3271,,,,,S,,,,,,,
90370_5494,S,,S,S,R,S,S,,S,S,S,
28901_794,R,S,,S,S,R,S,,R,S,R,
90371_5329,S,S,,S,S,S,,,S,S,,
90370_4120,S,,S,S,S,S,S,,S,S,S,
54388_230,,,,,R,S,,,S,S,,
90371_6221,R,,,,R,S,,,R,S,S,
90370_3471,,,,,R,S,,,S,S,,
90370_3447,,,,,R,S,,,S,S,,
90370_3491,,,,,R,S,,,S,S,,
90370_2847,,,,S,R,R,,,R,R,,
90370_4131,S,,S,S,S,S,S,,S,S,S,
590_12376,S,S,,S,S,S,,,S,S,S,
54388_193,,,,,R,S,,,S,S,,
90370_2695,,,,S,R,R,,,R,R,,
90370_2783,,,,S,R,R,,,R,R,,
28901_16269,S,,,S,,S,,,R,,,
192955_427,R,,,S,R,R,S,,R,S,R,
85569_96,R,,,,S,R,,S,R,R,R,
90371_5476,S,,S,R,S,R,,,R,R,R,
90370_2933,,,,S,R,S,,,S,S,,
590_12585,S,S,,S,S,S,,,S,S,S,
90371_5321,S,S,,S,S,S,,,S,S,,
90370_5479,S,,S,S,R,R,S,,R,R,R,
90370_2995,,,,S,R,S,,,R,S,,
90371_6239,R,,,,S,R,,,R,S,S,
1962641_4,,S,S,S,S,S,,,S,,,
90370_3492,,,,,R,S,,,S,S,,
399587_80,S,R,S,S,S,S,S,,R,S,R,
90371_5276,R,R,,S,R,R,,,R,R,,
149391_34,S,S,,S,S,S,S,,S,S,S,
590_16731,S,S,,S,S,S,,,R,S,R,
590_12521,S,S,,S,S,S,,,S,S,R,
28147_40,R,R,,R,S,R,S,,R,R,R,
590_13775,S,S,,S,S,S,,,S,S,R,
90370_4972,,,,,R,S,,,R,S,,
590_12538,S,R,,R,S,S,,,R,S,S,
590_14946,S,S,,S,S,S,,,S,S,R,
590_15093,S,S,,S,S,S,,,S,S,R,
90371_5251,S,S,,S,S,S,,,S,S,,
59201_4080,,,S,S,R,S,,,S,S,,
108619_99,R,R,,R,S,R,,,R,S,R,
90371_5309,S,S,,S,S,S,,,S,S,,
90371_5499,R,,S,R,S,R,,,R,R,R,
90371_5477,S,,S,R,S,R,,,R,R,R,
90371_5303,S,S,,S,S,S,,,R,S,,
85569_233,S,,,,S,S,,R,S,S,R,
590_12077,R,S,,S,S,S,,,S,S,R,
90371_5263,S,S,,S,S,S,,,R,S,,
590_12225,S,S,,S,S,S,,,S,S,R,
590_14831,S,S,,R,S,S,,,S,R,R,
54388_382,S,,S,S,R,S,S,,S,S,S,
28901_841,R,R,,S,S,R,S,,R,R,R,
90371_5289,S,S,,S,S,R,,,R,R,,
595_145,S,S,,S,S,S,S,,S,S,S,
85569_286,R,,,,R,R,,S,R,R,R,
590_12420,S,S,,S,S,S,,,S,S,R,
590_16646,S,S,,S,S,S,,,R,R,R,
399587_50,S,S,S,S,S,R,S,,R,R,S,
28901_21409,S,,S,S,S,S,S,,S,S,S,
590_12208,S,S,,S,S,S,,,S,S,S,
590_12564,S,S,,S,S,S,,,S,S,R,
90371_5510,S,,S,R,S,R,,,R,R,R,
399587_84,S,S,S,S,S,R,R,,S,S,R,
90370_4800,,,,,R,S,,,S,S,,
590_12609,R,S,,S,R,S,,,R,R,R,
90370_2979,,,,S,R,S,,,R,S,,
590_12399,S,S,,S,S,S,,,S,S,R,
90370_3114,,,,S,R,S,,,S,S,,
90370_2797,,,,S,R,R,,,R,R,,
90370_3307,,,,,S,,,,,,,
90371_888,S,,,,S,R,,,R,S,,
90370_4956,,,,,S,S,,,S,S,,
85569_262,R,,,,R,R,,S,R,R,R,
590_17796,R,S,,S,S,R,,,R,S,R,
590_16565,S,R,,S,S,S,,,R,R,R,
28901_769,S,R,,S,S,S,S,,R,S,R,
590_12621,S,S,,S,S,S,,,S,S,R,
90371_6231,R,,,,R,S,,,R,S,R,
58095_47,R,S,,R,S,R,R,,R,R,R,
399587_81,S,S,S,S,S,R,R,,S,S,R,
590_12412,R,S,,S,R,R,,,S,R,R,
590_17771,R,S,,S,S,S,,,R,S,R,
590_15594,S,S,,S,S,S,,,S,S,R,
90370_2530,,,,S,R,S,,,R,S,,
28901_814,S,S,,S,R,R,S,,S,S,R,
28901_798,R,S,,S,S,R,S,,S,S,S,
90370_4883,,,,,R,S,,,S,S,,
90370_3134,,,,S,R,S,,,S,S,,
59201_4100,,,S,S,R,S,,,S,S,,
90371_5405,S,S,,S,S,S,,,S,S,,
54388_199,,,,,R,S,,,S,S,,
590_14641,S,S,,S,S,S,,,S,S,R,
90370_4782,,,,,R,S,,,S,S,,
98360_78,S,R,,R,S,R,,,R,R,R,
90370_3192,,,,S,S,S,,,S,S,,
85569_114,R,,,,S,R,,S,R,R,R,
590_12328,S,S,,S,S,S,,,S,S,R,
590_12067,S,S,,S,S,S,,,S,S,R,
90370_3441,,,,,R,S,,,S,S,,
90370_5551,,,,,R,,,,,,,
90370_2529,,,,S,R,S,,,R,S,,
59201_4145,,,S,R,S,R,S,,R,R,S,
85569_41,R,,,,S,R,,,R,R,R,
90370_3595,,,,,R,,,,,,,
90371_5421,S,S,,S,S,S,,,S,S,,
590_12573,S,R,,R,S,S,,,R,R,R,
28901_16259,S,,,S,,S,,,R,,,
90371_5449,S,,S,S,S,S,,,S,S,S,
590_12406,S,R,,R,S,S,,,R,S,R,
590_12274,S,S,,S,S,S,,,R,S,R,
28901_21059,,,S,R,R,R,,,R,,,
590_12630,S,R,,R,S,S,,,R,S,R,
85569_34,R,,,,S,R,,,R,R,R,
