,Aminoglycoside,B-lactam Combined Agents,Carbapenem,Cephem,Fluoroquinolone,Folate,Macrolide,Oxazolidinone,Penicilin,Phenicol,Tetracycline,nan
90371_5379,S,S,,S,S,R,,,R,R,,
192955_380,R,,,S,R,R,S,,R,S,R,
90371_5391,S,S,,S,S,S,,,S,S,,
590_12403,S,S,,S,S,S,,,S,S,R,
90370_4093,S,,S,S,R,R,S,,R,R,S,
590_14941,S,S,,S,S,S,,,S,S,R,
399587_67,S,S,S,S,S,R,R,,R,R,R,
590_12613,S,S,,S,S,S,,,S,S,R,
590_12545,S,R,,R,S,S,,,R,S,R,
90371_5292,S,S,,S,S,R,,,R,R,,
590_12565,S,S,,S,S,S,,,S,S,S,
590_15134,S,S,,S,S,S,,,S,S,R,
90371_5461,S,,S,S,S,R,,,R,R,S,
600_43,S,S,,S,S,S,S,,S,S,S,
90371_2140,R,S,,S,S,R,,,S,S,S,
28901_862,S,S,,S,S,S,S,,S,S,S,
85569_178,R,,,,S,R,,S,R,R,R,
85569_120,R,,,,S,R,,S,R,R,R,
54388_384,S,,S,S,S,S,S,,S,S,S,
54388_343,S,,,,R,S,S,,S,S,S,
85569_282,R,,,,S,R,,S,R,R,R,
590_12243,S,S,,R,S,S,,,S,S,S,
192955_202,S,S,,S,S,S,S,,S,S,R,
590_12561,S,S,,S,S,S,,,S,S,R,
28901_825,R,R,,R,R,R,S,,R,R,R,
590_12253,S,S,,S,S,S,,,S,S,S,
90370_2944,,,,S,R,S,,,S,S,,
108619_98,R,R,,R,S,R,,,R,R,R,
90371_5332,S,S,,S,S,S,,,S,S,,
90371_5296,S,S,,S,S,S,,,R,R,,
90370_2861,,,,S,R,R,,,R,R,,
98360_93,R,R,,R,S,R,,,R,R,R,
98360_90,R,R,,R,S,R,,,R,S,R,
590_12471,S,S,,S,S,S,,,S,S,S,
28901_776,R,R,,R,S,R,S,,R,R,S,
85569_156,R,,,,S,R,,S,R,R,R,
90370_5492,S,,S,S,R,S,S,,S,S,S,
90371_5398,S,R,,S,R,R,,,R,R,,
54388_366,S,,S,S,S,S,S,,S,S,S,
28901_809,S,S,,S,S,S,S,,S,S,S,
192955_437,S,,,S,S,S,S,,R,S,S,
90371_5337,S,S,,S,S,R,,,R,R,,
90370_3482,,,,,R,S,,,S,S,,
90371_5454,S,,S,S,S,R,,,R,R,S,
590_15025,S,S,,S,S,S,,,S,S,S,
590_15528,R,S,,S,S,S,,,R,S,R,
590_16583,S,R,,R,S,S,,,R,R,R,
90370_3149,,,,S,S,S,,,S,S,,
590_14995,R,S,,S,S,S,,,S,S,R,
85569_38,R,,,,S,R,,,S,S,S,
59201_4150,,,S,R,S,R,S,,R,R,S,
590_14465,S,S,,S,S,S,,,S,S,R,
90370_5493,S,,S,S,R,R,S,,R,R,R,
98360_99,S,R,,R,S,R,,,R,R,S,
90370_2504,,,,S,R,S,,,S,S,,
90371_2136,R,R,,R,S,R,,,R,R,R,
85569_140,R,,,,R,R,,S,R,R,R,
590_16163,S,S,,S,R,S,,,S,S,R,
590_14755,R,S,,S,S,S,,,S,S,R,
85569_50,R,,,,S,R,,S,R,R,R,
28901_813,R,S,,S,S,R,S,,S,S,R,
85569_325,R,,,,S,R,,S,R,R,R,
590_12359,S,R,,R,S,S,,,R,S,S,
590_12500,S,S,,S,S,S,,,S,S,R,
85569_238,R,,,,S,R,,S,R,S,R,
85569_328,R,,,,S,R,,S,R,R,R,
90370_4960,,,,,R,S,,,S,S,,
90370_4789,,,,,R,S,,,S,S,,
590_16472,S,S,,S,S,S,,,S,S,R,
28901_820,S,S,,S,S,S,S,,S,S,R,
590_12048,S,S,,S,S,S,,,S,S,R,
28901_16272,S,,,S,,S,,,R,,,
28901_830,S,S,,S,S,S,S,,S,S,S,
90370_4866,,,,,R,S,,,S,S,,
590_14187,S,S,,S,S,S,,,S,S,R,
58712_75,S,S,,S,S,S,S,,S,S,S,
590_12053,S,S,,S,S,S,,,R,S,R,
90371_5248,S,S,,S,S,S,,,S,S,,
90370_4817,,,,,R,S,,,S,S,,
90371_5504,S,,S,R,S,R,,,R,R,R,
192955_415,S,,,S,R,S,R,,R,S,S,
28901_847,S,R,,S,S,R,S,,R,R,R,
590_12576,S,S,,S,S,S,,,S,S,R,
399587_44,S,S,S,S,S,S,S,,S,S,R,
590_12074,S,S,,R,R,R,,,R,S,R,
590_16897,S,S,,S,S,S,,,S,S,S,
90370_206,S,,,,S,S,,,S,S,S,
90371_6232,R,,,,,S,,,S,S,,
590_15929,S,S,,S,S,S,,,S,S,R,
590_12581,S,S,,S,S,S,,,S,S,S,
98360_75,S,R,,R,S,R,,,R,R,R,
59201_4120,,,S,R,S,R,S,,R,R,S,
590_14064,R,S,,S,S,S,,,S,S,R,
590_14737,S,S,,S,S,S,,,S,S,R,
90371_5483,S,,S,R,S,R,,,R,R,R,
399587_94,S,S,S,S,S,R,R,,S,R,R,
85569_101,R,,,,R,R,,S,R,R,R,
28901_21079,,,,R,R,R,,,R,,,
590_16151,S,S,,S,S,S,,,S,S,R,
28901_16305,R,,,S,S,R,,,R,S,R,
682797_9,R,R,,R,S,R,S,,R,R,R,
85569_85,R,,,,R,R,,S,R,R,R,
590_12622,S,S,,S,S,S,,,S,S,R,
58712_82,R,S,,R,R,R,S,,R,R,R,
28901_803,R,R,,S,S,R,S,,R,S,S,
85569_374,R,,,,S,R,,S,R,R,R,
90370_4098,S,,S,S,S,R,S,,R,S,S,
54388_231,,,,,R,S,,,S,S,,
90370_4121,S,,S,S,S,S,S,,S,S,S,
590_14512,S,S,,S,S,S,,,S,S,R,
90370_2503,,,,S,R,S,,,S,S,,
590_15710,S,S,,S,R,S,,,S,S,S,
54388_220,,,,,R,S,,,S,S,,
90371_5368,R,R,,S,R,R,,,R,R,,
399587_53,S,S,S,S,S,R,R,,R,R,R,
590_16225,S,S,,S,S,S,,,S,S,R,
58712_68,S,S,,S,S,S,S,,S,S,S,
90370_3567,,,,,R,S,,,S,S,,
90370_4931,,,,,R,S,,,S,S,,
54388_293,S,,,,S,S,S,,S,S,S,
399587_93,S,S,S,S,S,R,S,,R,R,R,
192955_359,R,,,S,R,R,S,,R,S,R,
595_138,S,S,,S,S,S,S,,S,S,S,
399587_57,S,S,S,S,S,R,S,,R,R,S,
590_16268,S,R,,R,S,S,,,R,R,R,
90371_2135,R,R,,R,S,R,,,R,S,R,
28901_779,S,S,,S,S,S,S,,S,S,S,
590_12404,S,S,,S,S,S,,,S,S,R,
28901_21411,S,,S,S,S,S,S,,S,S,S,
85569_214,R,,,,S,R,,S,R,R,R,
595_152,S,S,,S,S,S,S,,S,S,S,
590_15908,S,R,,R,S,S,,,R,S,S,
28901_21082,,,S,R,S,R,,,R,,,
90370_3456,,,,,R,S,,,S,S,,
85569_340,R,,,,S,R,,S,R,R,R,
590_15748,R,S,,S,S,S,,,R,S,R,
54388_326,S,,,,S,S,S,,S,S,S,
54388_86,S,,,,S,S,S,,S,S,S,
90370_4790,,,,,R,S,,,S,S,,
28901_812,R,S,,S,R,R,S,,S,S,R,
590_13799,S,S,,S,S,S,,,S,S,S,
590_14059,S,S,,S,S,S,,,S,S,R,
58712_80,R,S,,S,S,R,S,,R,R,R,
590_16294,R,S,,S,S,S,,,S,S,R,
590_12463,S,S,,S,S,S,,,S,S,S,
85569_223,R,,,,S,R,,S,S,R,R,
90370_3148,,,,S,S,S,,,S,S,,
85569_351,S,,,,S,S,,,S,S,S,
90370_4895,,,,,R,S,,,S,S,,
90370_3021,,,,S,R,S,,,S,S,,
192955_398,R,,,S,R,R,S,,R,R,R,
54388_308,S,,,,R,S,S,,S,S,S,
90370_3623,R,S,S,R,R,R,S,,R,R,S,
90371_5460,S,,S,S,S,R,,,R,S,S,
108619_145,S,S,,S,S,S,S,,S,S,S,
59201_4130,,,S,R,S,R,R,,R,R,S,
590_12340,S,S,,S,S,S,,,S,S,S,
590_15625,S,S,,S,S,S,,,S,R,R,
54388_224,,,,,R,S,,,S,S,,
85569_88,R,,,,S,R,,S,R,R,R,
90371_2128,R,R,,S,S,R,,,R,R,R,
108619_160,R,S,,S,S,R,S,,R,R,R,
85569_290,R,,,,S,R,,S,R,R,R,
90370_3560,,,,,R,S,,,S,S,,
590_17168,S,S,,S,S,S,,,S,S,S,
90370_667,S,,,S,S,S,,,S,S,S,
590_12550,S,S,,S,R,S,,,S,S,R,
59201_4148,,,S,R,S,R,S,,R,R,S,
90370_4855,,,,,S,S,,,S,S,,
590_12342,S,S,,S,S,S,,,S,S,R,
590_16259,S,S,,S,S,S,,,S,S,R,
90370_3532,,,,,R,S,,,S,S,,
90370_2988,,,,S,R,S,,,R,S,,
28901_806,S,S,,S,R,R,S,,R,S,R,
192955_425,R,,,S,R,R,S,,R,S,R,
90370_3039,,,,S,R,S,,,S,S,,
90370_5501,S,,S,S,R,R,S,,R,R,R,
590_14378,S,S,,S,S,S,,,S,S,R,
28901_771,R,S,,S,S,S,S,,S,S,S,
90370_2760,,,,S,R,R,,,R,R,,
28901_775,R,S,,S,S,R,,,R,S,R,
90370_3165,,,,S,S,S,,,S,R,,
54388_229,,,,,R,S,,,S,S,,
90371_5495,S,,S,S,S,R,,,R,R,S,
90370_5489,S,,S,S,R,S,S,,S,S,S,
590_11960,S,S,,S,S,S,,,S,S,R,
590_12631,S,S,,S,S,S,,,S,S,R,
90370_2769,,,,S,R,R,,,R,R,,
90370_3592,,,,,R,,,,,,,
59201_4129,,,S,R,S,R,S,,R,R,S,
590_12228,R,S,,S,S,S,,,S,S,R,
90370_3023,,,,S,R,S,,,S,S,,
54388_370,S,,S,S,S,S,S,,S,S,S,
54388_340,S,,,,S,S,S,,S,S,S,
590_12287,S,S,,S,S,S,,,S,S,R,
90371_5354,S,S,,S,S,S,,,S,S,,
590_12280,S,S,,S,S,S,,,R,S,R,
590_12562,S,S,,S,S,S,,,S,S,R,
28901_21052,,,S,R,S,R,,,R,,,
82689_63,S,S,,S,S,S,S,,S,S,S,
108619_186,S,S,,S,S,S,S,,S,S,S,
590_15281,S,S,,S,S,S,,,S,R,R,
90370_2966,,,,S,R,S,,,R,S,,
399587_49,S,S,S,S,S,R,S,,R,S,R,
590_12382,S,S,,S,S,S,,,S,S,S,
90370_3287,,,,,R,,,,,,,
28901_807,S,R,,R,S,S,S,,R,S,S,
590_12187,S,S,,S,S,S,,,S,R,R,
590_12229,S,S,,S,S,S,,,S,S,R,
90370_2690,,,,S,R,R,,,R,R,,
590_12062,R,S,,S,S,S,,,R,S,R,
590_14722,S,R,,R,S,S,,,R,R,R,
90370_3081,,,,S,R,S,,,S,S,,
590_13700,S,S,,S,S,S,,,S,S,R,
590_12418,S,S,,S,S,S,,,S,S,R,
682797_8,S,S,,S,S,S,S,,S,S,S,
90370_3087,,,,S,R,S,,,S,S,,
149391_24,R,R,,R,S,R,S,,R,S,S,
90370_5472,S,,,S,R,R,S,,R,R,R,
85569_131,S,,,,S,S,,S,R,S,S,
590_15894,S,S,,S,S,S,,,S,S,R,
90370_2577,R,R,S,R,R,R,S,,R,R,S,
85569_97,S,,,,S,R,,S,R,S,S,
192955_403,R,,,S,R,S,S,,R,S,S,
590_17200,R,S,,S,S,S,,,S,S,R,
590_16996,S,S,,S,S,S,,,S,S,R,
54388_385,S,,S,S,R,S,S,,S,S,S,
590_12348,S,S,,S,S,S,,,S,S,R,
59201_4102,,,S,S,R,S,,,S,S,,
363569_44,S,S,,S,S,S,S,,S,S,S,
590_12506,R,S,,S,S,S,,,S,R,S,
90370_2496,,,,S,R,S,,,S,S,,
90370_1108,S,,,S,S,S,,,S,S,S,
149391_35,S,S,,S,S,S,S,,S,S,S,
590_12341,S,S,,S,S,S,,,S,S,R,
399587_78,S,S,S,S,S,R,S,,R,S,R,
590_12429,R,S,,S,S,S,,,S,S,S,
54388_388,S,,S,S,R,S,S,,S,S,S,
90370_4134,S,,S,S,S,S,S,,S,S,S,
28901_767,R,S,,S,S,R,S,,S,R,R,
399587_92,S,S,S,S,S,R,R,,S,S,R,
90370_2735,,,,S,R,R,,,R,R,,
399587_47,S,S,S,S,R,R,R,,S,S,S,
90370_4963,,,,,R,R,,,R,R,,
85569_261,R,,,,S,R,,S,R,R,R,
28901_16270,S,,,S,,S,,,R,,,
192955_417,R,,,S,R,R,S,,R,R,R,
90370_2882,,,,S,R,R,,,S,R,,
54388_219,,,,,R,S,,,S,S,,
108619_49,R,R,,R,S,R,,,R,R,R,
90370_3387,R,S,S,R,R,R,S,,R,R,S,
590_12476,S,S,,S,S,S,,,S,R,R,
590_12442,R,S,,S,S,S,,,S,S,S,
90370_3449,,,,,R,S,,,S,S,,
90371_2134,R,S,,S,S,R,,,R,S,R,
90370_3028,,,,S,R,S,,,S,S,,
90370_4111,S,,S,S,S,S,S,,S,S,S,
90370_3068,,,,S,R,S,,,S,S,,
59201_4214,,,S,S,S,S,S,,S,S,S,
590_16359,S,S,,S,S,S,,,S,S,R,
590_12221,S,S,,S,S,S,,,S,S,R,
54388_236,,,,,R,S,,,S,S,,
590_12488,S,S,,S,S,S,,,S,S,S,
590_16341,S,R,,S,S,S,,,R,R,R,
149539_884,R,,,,,S,,,S,S,S,
90370_2483,,,,S,R,R,,,R,R,,
363569_33,S,S,,S,S,S,S,,S,S,S,
90370_3405,,,,,R,S,,,S,S,,
90371_5395,R,S,,S,S,R,,,R,R,,
590_15416,S,S,,S,R,S,,,S,S,R,
90370_3555,,,,,R,S,,,S,S,,
90370_5526,S,,S,S,R,R,S,,R,R,R,
590_12316,S,R,,R,S,S,,,R,R,R,
590_12558,S,S,,S,S,S,,,S,S,R,
85569_135,R,,,,S,R,,S,R,R,R,
590_14546,S,S,,S,S,S,,,S,S,R,
363569_40,S,S,,S,S,S,S,,S,S,S,
590_12195,S,S,,S,S,S,,,S,S,S,
90370_5471,S,,S,S,R,S,S,,S,S,S,
590_15124,S,S,,S,S,S,,,S,S,R,
90371_5431,S,S,,S,S,R,,,R,R,,
590_12059,S,R,,R,S,S,,,R,R,R,
192955_435,S,,,S,S,R,S,,S,S,S,
54388_238,,,,,R,S,,,S,S,,
85569_17,R,,,,S,R,,,R,R,R,
85569_134,R,,,,S,R,,S,R,R,R,
590_12421,S,R,,R,S,S,,,R,S,S,
90371_5255,S,S,,S,S,R,,,R,R,,
54388_241,,,,,R,S,,,S,S,,
90370_2767,,,,S,R,R,,,R,R,,
192955_372,S,,,S,R,R,S,,R,S,R,
54388_232,,,,,R,S,,,S,S,,
590_15857,S,S,,S,S,S,,,S,S,R,
90370_3063,,,,S,R,S,,,S,S,,
590_16721,S,S,,S,S,S,,,R,R,R,
59201_4081,,,S,S,R,S,,,S,S,,
90371_5512,S,,S,R,S,R,,,R,R,R,
90371_5262,S,R,,S,R,S,,,R,R,,
28901_778,S,R,,R,S,R,S,,R,S,R,
85569_51,R,,,,S,R,,S,R,R,R,
28901_21061,,,S,R,S,R,,,R,,,
90370_2928,,,,S,R,S,,,S,S,,
192955_396,R,,,S,R,R,S,,R,S,R,
90370_4959,,,,,R,S,,,S,S,,
598_29,S,S,,S,S,S,S,,S,S,S,
90371_5388,S,R,,S,R,R,,,R,R,,
590_16989,S,S,,S,S,S,,,S,S,S,
90371_2941,S,S,,S,S,S,S,,S,S,S,
85569_196,R,,,,S,R,,S,R,R,R,
595_146,S,S,,S,S,S,S,,S,S,S,
58095_46,R,S,,R,S,R,R,,R,R,R,
28901_860,R,R,,R,S,R,S,,R,R,R,
59201_4133,,,S,R,S,R,S,,R,R,S,
399587_58,R,R,S,S,S,R,S,,R,R,R,
28901_781,R,R,,R,S,R,S,,R,S,R,
192955_439,S,,,S,R,S,S,,R,S,R,
90370_3465,,,,,R,S,,,S,S,,
595_142,S,S,,S,S,S,S,,S,S,S,
59201_4086,,,S,S,R,S,,,S,S,,
192954_46,S,S,,S,S,S,S,,S,S,S,
590_15654,S,S,,S,S,S,,,S,S,R,
90370_2514,,,,S,R,R,,,S,R,,
90370_3109,,,,S,R,S,,,S,S,,
28901_801,R,S,,S,S,R,S,,R,S,S,
85569_176,R,,,,S,R,,S,R,R,R,
85569_218,R,,,,S,R,,S,S,S,S,
28901_9238,,,,,S,S,,,S,,S,
28901_849,S,S,,S,S,S,S,,S,S,S,
85569_70,R,,,,S,R,,S,R,R,R,
85569_269,R,,,,S,R,,S,R,R,R,
108619_174,S,S,,S,S,S,S,,S,S,S,
90370_3073,,,,S,R,S,,,S,S,,
85569_138,R,,,,S,R,,S,R,R,R,
108619_143,S,S,,S,S,S,S,,S,S,S,
85569_141,R,,,,S,R,,S,S,S,S,
590_14404,R,S,,S,S,S,,,S,S,R,
590_16837,S,S,,S,R,S,,,S,S,R,
590_16787,S,S,,S,S,S,,,S,S,R,
85569_163,R,,,,S,R,,S,R,R,S,
54388_298,S,,,,S,S,S,,S,S,S,
90370_5529,S,,S,S,R,S,S,,S,S,S,
90370_3444,,,,,R,S,,,S,S,,
590_15877,S,S,,S,S,S,,,S,S,R,
90370_2518,,,,S,S,R,,,S,R,,
399587_96,S,S,S,S,S,R,R,,S,S,R,
90371_5485,S,,S,R,S,R,,,R,R,R,
90370_3170,,,,S,S,S,,,S,S,,
590_16451,R,R,,S,S,R,,,R,R,R,
590_12371,S,S,,S,S,R,,,S,R,S,
90370_397,S,,,S,S,S,,,S,S,S,
28901_793,R,S,,S,S,R,S,,R,S,S,
590_16888,S,S,,S,S,S,,,S,S,R,
90370_3564,,,,,R,S,,,S,S,,
598_25,R,S,,R,S,R,S,,R,R,R,
90371_5502,S,,S,S,S,R,,,R,R,S,
486990_9,S,S,,S,S,S,S,,S,S,S,
