sseqid,IS1016@IS1595@IS1016,IS1301@IS5@IS427,IS1655@IS30@nan,ISNg1@IS3@IS150,ISNgo2@IS110@nan,ISNgo3@IS110@nan
485_13392,1,0,0,1,0,1
485_13395,0,0,0,0,0,1
485_13396,1,0,0,0,0,1
485_13397,1,0,0,1,0,1
485_13398,1,0,0,1,0,1
485_134,1,0,0,1,1,1
485_13400,0,0,0,0,0,1
485_13401,0,0,0,0,0,1
485_13402,0,0,0,0,0,1
485_13403,1,0,0,1,0,0
485_13404,1,0,0,1,1,1
485_13405,1,0,0,1,0,1
485_13406,1,0,0,0,0,1
485_13408,1,0,0,1,0,1
485_13409,1,0,0,0,0,0
485_13410,1,0,0,1,0,1
485_13411,1,0,0,1,0,0
485_13412,1,0,0,1,0,1
485_13413,1,0,0,1,0,1
485_13414,1,0,0,1,0,1
485_13416,1,0,0,1,0,1
485_13424,1,0,0,1,0,1
485_13426,1,0,0,0,0,1
485_13428,1,0,0,0,0,1
485_13429,1,0,0,1,0,1
485_13430,1,0,0,0,0,0
485_13431,1,0,0,0,0,1
485_13432,1,0,0,1,0,1
485_13433,1,0,0,0,0,0
485_13434,1,0,0,0,0,1
485_13435,1,0,0,0,0,1
485_13436,1,0,0,1,0,1
485_13437,1,0,0,0,0,1
485_13438,1,0,0,1,0,1
485_13439,1,0,0,0,0,0
485_13441,1,0,1,1,0,1
485_13444,1,0,0,1,0,1
485_13445,1,0,0,0,0,0
485_13446,1,0,0,1,0,0
485_13452,1,0,0,0,1,0
485_13455,1,0,0,1,0,1
485_13456,1,0,0,1,0,1
485_13457,0,0,0,1,0,1
485_13458,1,0,0,0,0,1
485_13459,1,0,0,1,0,1
485_13460,1,0,0,1,0,1
485_13461,1,0,0,0,0,0
485_13462,1,0,0,1,0,0
485_13463,1,0,0,1,1,0
485_13464,1,0,1,1,0,0
485_13465,1,0,0,1,0,0
485_13466,1,0,0,1,0,1
485_13467,1,0,0,0,0,1
485_13468,1,0,0,1,0,0
485_13469,1,0,0,0,1,1
485_13470,1,0,0,1,0,0
485_13471,1,0,0,1,0,0
485_13472,1,0,0,0,0,0
485_13473,1,0,0,1,0,0
485_13474,1,0,0,1,0,1
485_13475,1,0,0,1,0,1
485_13476,1,0,0,0,0,0
485_13477,1,0,0,0,0,1
485_13478,1,0,1,0,0,1
485_13479,1,0,0,1,0,1
485_13480,1,0,0,1,0,1
485_13481,1,0,0,0,0,1
485_13482,1,0,0,1,1,0
485_13483,1,0,0,0,0,1
485_13484,1,0,0,0,0,1
485_13485,1,0,0,0,0,1
485_13486,1,0,0,0,0,1
485_13487,1,0,0,1,0,1
485_13488,1,0,0,1,0,1
485_13489,1,0,0,1,0,1
485_13490,1,0,0,1,0,1
485_13491,1,0,0,1,0,0
485_13492,1,0,0,0,0,1
485_13493,1,0,1,1,0,0
485_13494,1,0,0,0,0,1
485_13495,1,0,0,0,0,0
485_13496,1,0,0,1,0,1
485_13497,0,0,0,1,0,1
485_13498,1,0,0,1,0,1
485_13499,1,0,1,1,0,1
485_135,0,0,0,1,1,1
485_13500,1,0,0,0,0,1
485_13501,1,0,0,1,0,1
485_13502,1,0,0,1,0,1
485_13503,0,0,0,0,0,1
485_13504,1,0,0,0,0,0
485_13505,1,0,0,1,0,1
485_13506,1,0,0,0,0,1
485_13507,1,0,0,1,0,1
485_13508,0,0,0,0,0,1
485_13509,1,0,0,0,0,1
485_13510,1,0,0,1,0,0
485_13511,1,0,0,1,0,1
