Genome ID,Collection Year,Isolation Country,Host Name,Host Common Name,Host Group,Country Code,PP cluster
485_55,2009,USA,Human,Human,Human,USA,35
485_13664,2017,Australia,Human,,,AUS,2
485_4426,2012,USA,Human,Human,Human,USA,88
485_13662,2017,Australia,Human,,,AUS,2
485_14994,2017,Australia,Human,,,AUS,18
485_15590,2017,Australia,Human,,,AUS,3
485_8879,2014,United Kingdom,Human,Human,Human,GBR,101
485_4479,2013,USA,Human,Human,Human,USA,341
485_5596,2013,Spain,Human,Human,Human,ESP,721
485_15437,2013,USA,Human,,,USA,1
485_17537,2017,Australia,Human,,,AUS,45
485_14311,2017,Australia,Human,,,AUS,24
485_9636,1997,Japan,Human,Human,Human,JPN,121
485_14118,2017,Australia,Human,,,AUS,1112
485_13206,2017,Australia,Human,,,AUS,4
485_79,2010,USA,Human,Human,Human,USA,33
485_5440,2013,Portugal,Human,Human,Human,PRT,3
485_13608,2017,Australia,Human,,,AUS,10
485_9509,2013,United Kingdom,Human,Human,Human,GBR,307
485_714,2005,Canada,Human,Human,Human,CAN,625
485_14530,2017,Australia,Human,,,AUS,4
485_5245,2013,Netherlands,Human,Human,Human,NLD,15
485_13900,2017,Australia,Human,,,AUS,8
485_4833,2015,Japan,Human,Human,Human,JPN,114
485_13657,2017,Australia,Human,,,AUS,4
485_14087,2017,Australia,Human,,,AUS,232
485_17634,2017,Australia,Human,,,AUS,123
485_844,2012,Canada,Human,Human,Human,CAN,561
485_16700,2017,Australia,Human,,,AUS,2
485_14884,2017,Australia,Human,,,AUS,21
485_9003,2014,United Kingdom,Human,Human,Human,GBR,34
485_4281,2012,USA,Human,Human,Human,USA,6
485_17644,2017,Australia,Human,,,AUS,8
485_383,2014,USA,Human,Human,Human,USA,89
485_4251,2012,USA,Human,Human,Human,USA,337
485_5092,2013,Greece,Human,Human,Human,GRC,1
485_13882,2017,Australia,Human,,,AUS,7
485_69,2009,USA,Human,Human,Human,USA,676
485_13886,2017,Australia,Human,,,AUS,5
485_9164,2013,United Kingdom,Human,Human,Human,GBR,6
485_6964,2015,New Zealand,Human,Human,Human,NZL,276
485_9720,2013,Australia,Human,Human,Human,AUS,178
485_8776,2016,United Kingdom,Human,Human,Human,GBR,3
485_12966,2017,Australia,Human,,,AUS,1214
485_14396,2017,Australia,Human,,,AUS,2
485_711,2004,Canada,Human,Human,Human,CAN,629
485_3842,2012,USA,Human,Human,Human,USA,378
485_392,2013,USA,Human,Human,Human,USA,2
485_13606,2017,Australia,Human,,,AUS,17
485_13027,2017,Australia,Human,,,AUS,2
485_9668,2006,Australia,Human,Human,Human,AUS,3
485_12960,2017,Australia,Human,,,AUS,1215
485_14144,2017,Australia,Human,,,AUS,4
485_4094,2012,USA,Human,Human,Human,USA,889
485_5380,2013,United Kingdom,Human,Human,Human,GBR,6
485_8801,2015,United Kingdom,Human,Human,Human,GBR,515
485_285,2009,USA,Human,Human,Human,USA,1
485_13452,2017,Australia,Human,,,AUS,1165
485_8805,2014,United Kingdom,Human,Human,Human,GBR,31
485_5648,2013,France,Human,Human,Human,FRA,15
485_9366,2014,United Kingdom,Human,Human,Human,GBR,26
485_8252,2015,United Kingdom,Human,Human,Human,GBR,17
485_17839,2010,Slovenia,Human,,,SVN,1
485_8368,2014,United Kingdom,Human,Human,Human,GBR,31
485_776,2010,Canada,Human,Human,Human,CAN,604
485_5474,2013,Portugal,Human,Human,Human,PRT,301
485_13094,2017,Australia,Human,,,AUS,3
485_13406,2017,Australia,Human,,,AUS,13
485_8564,2013,United Kingdom,Human,Human,Human,GBR,6
485_760,2009,Canada,Human,Human,Human,CAN,1
485_9703,2013,Australia,Human,Human,Human,AUS,87
485_14242,2017,Australia,Human,,,AUS,30
485_17874,2010,Belarus,Human,,,BLR,220
485_8418,2015,United Kingdom,Human,Human,Human,GBR,188
485_15579,2017,Australia,Human,,,AUS,18
485_4264,2012,USA,Human,Human,Human,USA,87
485_4374,2012,USA,Human,Human,Human,USA,118
485_4437,2012,USA,Human,Human,Human,USA,2
485_16954,2017,Australia,Human,,,AUS,8
485_135,2009,USA,Human,Human,Human,USA,1
485_3927,2013,USA,Human,Human,Human,USA,2
485_13087,2017,Australia,Human,,,AUS,4
485_6857,2015,New Zealand,Human,Human,Human,NZL,682
485_13740,2017,Australia,Human,,,AUS,20
485_9678,2008,Australia,Human,Human,Human,AUS,128
485_14907,2017,Australia,Human,,,AUS,18
485_66,2009,USA,Human,Human,Human,USA,1
