Genome ID,Collection Year,Isolation Country,Host Name,Host Common Name,Host Group,Country Code,PP cluster,,,,,,,,
1311_2980,2013,Canada,Human,Human,Human,CAN,99,,,,,,,,
1311_3072,2005,USA,Human,Human,Human,USA,6,,,,,,,,
1311_3085,2010,Canada,Human,Human,Human,CAN,3,,,,,,,,
1311_2993,2014,Canada,Human,Human,Human,CAN,90,,,,,,,,
1311_2983,2012,Canada,Human,Human,Human,CAN,98,,,,,,,,
1311_2992,2014,Canada,Human,Human,Human,CAN,1,,,,,,,,
1311_3092,2010,Canada,Human,Human,Human,CAN,11,,,,,,,,
1311_2987,2013,Canada,Human,Human,Human,CAN,8,,,,,,,,
1311_3030,2012,Canada,Human,Human,Human,CAN,72,,,,,,,,
1311_2958,2013,Canada,Human,Human,Human,CAN,1,,,,,,,,
1311_3000,2011,Canada,Human,Human,Human,CAN,2,,,,,,,,
1311_2954,2012,Canada,Human,Human,Human,CAN,107,,,,,,,,
1311_3101,2010,Canada,Human,Human,Human,CAN,42,,,,,,,,
1311_3008,2010,Canada,Human,Human,Human,CAN,85,,,,,,,,
1311_2988,2014,Canada,Human,Human,Human,CAN,94,,,,,,,,
1311_2953,2012,Canada,Human,Human,Human,CAN,16,,,,,,,,
1311_3021,2011,Canada,Human,Human,Human,CAN,1,,,,,,,,
1311_3060,2010,USA,Human,Human,Human,USA,13,,,,,,,,
1311_3031,2011,Canada,Human,Human,Human,CAN,1,,,,,,,,
1311_3067,2008,USA,Human,Human,Human,USA,56,,,,,,,,
1311_2970,2013,Canada,Human,Human,Human,CAN,1,,,,,,,,
1311_3029,2012,Canada,Human,Human,Human,CAN,73,,,,,,,,
1311_2961,2012,Canada,Human,Human,Human,CAN,16,,,,,,,,
1311_3062,2009,USA,Human,Human,Human,USA,1,,,,,,,,
1311_2989,2010,Canada,Human,Human,Human,CAN,93,,,,,,,,
1311_2997,2010,Canada,Human,Human,Human,CAN,1,,,,,,,,
1311_3001,2011,Canada,Human,Human,Human,CAN,87,,,,,,,,
1311_2963,2012,Canada,Human,Human,Human,CAN,5,,,,,,,,
1311_2959,2012,Canada,Human,Human,Human,CAN,15,,,,,,,,
1311_3068,2006,USA,Human,Human,Human,USA,10,,,,,,,,
1311_3020,2011,Canada,Human,Human,Human,CAN,79,,,,,,,,
1311_3075,2006,USA,Human,Human,Human,USA,54,,,,,,,,
1311_3011,2011,Canada,Human,Human,Human,CAN,14,,,,,,,,
1311_2981,2013,Canada,Human,Human,Human,CAN,1,,,,,,,,
1311_2957,2012,Canada,Human,Human,Human,CAN,15,,,,,,,,
1311_3074,2006,USA,Human,Human,Human,USA,55,,,,,,,,
1311_2979,2012,Canada,Human,Human,Human,CAN,1,,,,,,,,
1311_3037,2012,Canada,Human,Human,Human,CAN,7,,,,,,,,
1311_2968,2013,Canada,Human,Human,Human,CAN,105,,,,,,,,
1311_3024,2010,Canada,Human,Human,Human,CAN,77,,,,,,,,
1311_2973,2014,Canada,Human,Human,Human,CAN,1,,,,,,,,
1311_2986,2013,Canada,Human,Human,Human,CAN,95,,,,,,,,
1311_3071,2006,USA,Human,Human,Human,USA,1,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
