Genome ID,Collection Year,Isolation Country,Host Name,Host Common Name,Host Group,Country Code,PP cluster,,,,,,
1717_817,1995,Dominican Republic,Human,,,DOM,146,,,,,,
1717_799,1984,France,Human,,,FRA,35,,,,,,
1717_1004,2017,New Caledonia,Human,,,NCL,41,,,,,,
1717_983,2016,New Caledonia,Human,,,NCL,20,,,,,,
1717_960,2015,France,Human,,,FRA,61,,,,,,
1717_951,2015,France,Human,,,FRA,67,,,,,,
1717_879,2009,Mayotte,Human,,,MYT,37,,,,,,
1717_902,2012,France,Human,,,FRA,94,,,,,,
1717_924,2014,Mayotte,Human,,,MYT,84,,,,,,
1717_931,2014,France,Human,,,FRA,79,,,,,,
1717_981,2016,France,Human,,,FRA,50,,,,,,
1717_798,1985,France,Human,,,FRA,35,,,,,,
1717_836,1996,Thailand,Human,,,THA,133,,,,,,
1717_979,2016,France,Human,,,FRA,52,,,,,,
1717_1016,2017,France,Human,,,FRA,170,,,,,,
1717_890,2011,France,Human,,,FRA,99,,,,,,
1717_859,1996,Thailand,Human,,,THA,113,,,,,,
1717_942,2015,Mayotte,Human,,,MYT,5,,,,,,
1717_922,2014,Mayotte,Human,,,MYT,4,,,,,,
1717_940,2015,New Caledonia,Human,,,NCL,42,,,,,,
1717_856,1992,Australia,Human,,,AUS,1,,,,,,
1717_985,2017,France,Human,,,FRA,15,,,,,,
1717_904,2012,Mayotte,Human,,,MYT,93,,,,,,
1717_838,1996,Thailand,Human,,,THA,131,,,,,,
1717_853,1985,United Kingdom,Human,,,GBR,118,,,,,,
1717_949,2016,France,Human,,,FRA,68,,,,,,
1717_860,1994,India,Human,,,IND,112,,,,,,
1717_892,2011,France,Human,,,FRA,98,,,,,,
1717_889,2011,Mayotte,Human,,,MYT,3,,,,,,
1717_854,1966,Romania,Human,,,ROU,117,,,,,,
1717_947,2016,Mayotte,Human,,,MYT,70,,,,,,
1717_1024,2009,Mayotte,Human,,,MYT,38,,,,,,
