Genome ID,amikacin,aztreonam,cefepime,ceftazidime,ciprofloxacin,colistin,gentamicin,imipenem,levofloxacin,meropenem,piperacillin_tazobactam,tobramycin
287_1234,R,,,,,S,,,R,R,,
287_7790,S,R,R,R,S,,S,R,R,R,R,S
287_951,S,,,R,,S,,,R,R,,
287_7813,S,S,S,S,S,,S,S,S,S,S,S
287_7808,S,R,S,S,R,,R,R,R,R,S,R
287_1028,S,,,S,,S,,,S,S,,
1402531_3,S,,,S,S,S,S,S,S,,,S
287_1111,R,,,R,,S,,,R,R,,
1402518_3,S,,,R,S,S,S,S,S,,,S
287_7802,S,R,S,S,R,,S,S,S,S,R,
287_1014,S,,,,,S,,,S,S,,
287_1149,S,,,S,,S,,,S,R,,
287_1056,S,,,,,S,,,S,S,,
287_1010,R,,,R,,S,,,R,R,,
287_7849,S,S,S,S,S,,S,R,S,R,S,S
287_1016,S,,,,,S,,,R,R,,
287_891,S,,,,,S,,,S,S,,
287_893,S,,,,,S,,,S,S,,
287_1003,S,,,,,S,,,S,S,,
1447539_3,S,,,S,S,S,S,S,S,,,S
287_1059,S,,,,,S,,,S,S,,
287_8503,,R,,R,R,,,,R,R,,
287_7792,S,S,R,R,S,,R,R,S,R,S,R
1402519_3,S,,,S,S,R,S,S,S,,,S
287_7845,S,S,S,S,S,,S,S,S,S,S,S
287_895,S,,,,,S,,,R,R,,
287_1100,R,,,R,,S,,,R,S,,
287_1125,R,,,R,,R,,,R,R,,
1402516_3,S,,,S,S,S,S,S,S,,,S
287_1110,S,,,,,S,,,S,S,,
287_1133,S,,,R,,S,,,R,R,,
287_8493,,,,,R,,,,R,,,
287_7795,S,R,R,S,R,,S,R,R,R,R,R
287_957,S,,,,,S,,,S,S,,
287_909,S,,,R,,S,,,R,S,,
287_1232,R,,,R,,S,,,R,R,,
287_1201,S,,,,,,,,S,S,,
287_1165,R,,,R,,S,,,R,R,,
287_1038,S,,,S,,S,,,S,R,,
287_4076,,S,R,S,,,,R,,S,S,
287_871,R,,,S,,S,,,R,R,,
287_1229,S,,,,,S,,,S,S,,
287_32672,,,,,R,,,,,,,
287_993,S,,,R,,S,,,R,R,,
287_34441,S,S,S,S,S,S,S,,,S,S,
287_954,S,,,,,S,,,R,R,,
287_1011,R,,,R,,S,,,R,R,,
287_1128,S,,,S,,S,,,R,S,,
287_1078,R,,,R,,S,,,R,R,,
287_913,S,,,R,,S,,,R,S,,
287_1034,S,,,,,S,,,S,S,,
287_1208,R,,,,,S,,,R,S,,
287_1094,S,,,,,S,,,R,R,,
287_4068,,R,R,R,,,,R,,R,,
287_7798,S,S,S,S,R,,R,R,R,S,S,S
287_1180,S,,,,,S,,,R,S,,
287_1019,S,,,,,S,,,R,S,,
287_4054,,S,S,S,,,,,,S,S,
1402521_3,S,,,S,S,S,S,R,S,,,S
287_7862,S,S,S,S,S,,S,S,S,S,S,S
287_852,S,,,S,,S,,,S,S,,
287_1021,R,,,S,,S,,,R,R,,
287_8028,R,R,R,R,R,,S,S,R,S,R,S
287_1127,S,,,R,,S,,,R,R,,
1447541_3,S,,,S,S,S,S,S,S,,,S
287_1139,S,,,R,,S,,,R,R,,
287_7850,S,S,S,S,R,,R,R,R,R,S,S
287_974,R,,,,,S,,,R,R,,
287_968,S,,,,,S,,,S,S,,
287_983,S,,,,,S,,,R,S,,
287_1009,S,,,S,,S,,,S,S,,
287_1062,R,,,S,,S,,,R,R,,
287_1175,S,,,,,,,,S,S,,
287_32674,,,,,R,,,,,,,
287_8509,R,R,R,R,R,S,R,,R,R,,R
287_1177,S,,,S,,,,,S,S,,
1402532_3,S,,,S,S,S,S,S,S,,,S
287_920,S,,,S,,S,,,S,S,,
287_956,S,,,R,,S,,,R,R,,
287_7830,S,R,R,R,R,,S,R,R,R,R,S
287_7791,R,R,R,R,R,,R,R,R,R,R,R
287_7833,S,R,S,S,R,,S,S,R,S,S,R
287_7774,S,S,S,S,R,,S,R,R,R,S,S
1402537_3,S,,,S,S,S,S,S,S,,,S
287_1073,S,,,,,S,,,S,S,,
1402515_3,S,,,R,S,S,S,S,S,,,S
287_1103,S,,,S,,S,,,R,R,,
287_975,R,,,,,S,,,R,R,,
287_34445,S,S,S,S,S,S,S,,,S,S,
287_1143,S,,,R,,S,,,R,S,,
1402527_3,S,,,S,S,S,S,S,S,,,S
287_1122,S,,,R,,S,,,S,R,,
1402502_3,S,,,S,R,S,S,R,R,,,S
287_860,S,,,R,,S,,,S,S,,
287_1158,R,,,R,,S,,,R,R,,
287_1090,R,,,,,S,,,R,S,,
287_1219,R,,,S,,S,,,R,S,,
287_1085,S,,,,,S,,,S,S,,
287_934,R,,,R,,S,,,R,R,,
287_1132,S,,,R,,S,,,R,R,,
287_1162,S,,,R,,S,,,R,R,,
287_1178,R,,,R,,S,,,R,R,,
1418246_3,S,,,S,R,S,S,R,R,,,S
287_1186,S,,,,,,,,S,S,,
287_7848,S,R,R,R,R,,R,R,R,R,R,R
287_32658,,,,,R,,,R,,,,
287_10645,,,,,S,,S,,,,,
287_1027,S,,,R,,S,,,S,S,,
287_1026,S,,,,,S,,,S,R,,
287_1136,R,,,R,,S,,,R,R,,
287_1242,S,,,,,S,,,S,S,,
287_1226,S,,,,,S,,,R,R,,
287_883,S,,,R,,S,,,R,R,,
287_1067,R,,,R,,S,,,R,R,,
287_1002,S,,,,,S,,,R,R,,
287_7810,S,S,S,S,S,,S,S,S,S,S,S
287_927,S,,,S,,S,,,S,S,,
287_1214,,,,R,,S,,,,S,,
