Genome ID,amoxicillin_clavulanic acid,ampicillin,azithromycin,cefepime,cefotaxime,cefoxitin,ceftazidime,ceftiofur,ceftriaxone,cephalosporin,chloramphenicol,ciprofloxacin,ertapenem,furazolidone,gentamicin,kanamycin,meropenem,nalidixic acid,netilmicin,ofloxacin,pefloxacin,spectinomycin,streptomycin,sulfamethoxazole,sulfisoxazole,sulfonamides,tetracycline,tigecycline,trimethoprim,trimethoprim_sulfamethoxazole
590_13859,R,R,,,,R,,,R,,S,S,,,S,,,S,,,,,,,S,,S,,,S
590_15223,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,R,,,S
590_16463,R,R,,,,R,,,R,,S,S,,,S,,,S,,,,,,,S,,R,,,S
590_14844,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,R,,,S
90370_4961,,S,,,,,,,,S,S,S,,,,,,R,,,,,,,,,,,,S
54388_239,,S,,,,,,,,S,S,R,,,,,,R,,,,,,,,,,,,S
90370_3000,,R,,,,,,,S,,S,R,,,,,,,,,,,,,,,,,,S
90370_2711,,R,,,,,,,S,,R,R,,,,,,,,,,,,,,,,,,R
590_14883,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,,,R,,,S
90371_5414,S,R,,,,,S,,S,,R,S,,,R,,,R,,S,,,,,,,,,R,
192955_352,,R,S,,,S,S,,S,,S,R,,,S,S,,R,S,,,S,S,,,S,S,,S,
590_12055,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,R,,,S
90371_5295,S,R,,,,,S,,S,,R,R,,,S,,,R,,S,,,,,,,,,S,
590_13625,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,,,R,,,S
90371_5423,S,S,,,,,S,,S,,S,S,,,S,,,S,,S,,,,,,,,,S,
590_12514,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,R,,,S
59201_4090,,S,,S,S,,S,,S,,S,R,,,,,S,,,,R,,,,,,,,,S
