Genome ID,azithromycin,cefixime,cefpodoxime,ceftriaxone,ciprofloxacin,erythromycin,levofloxacin,penicillin,spectinomycin,tetracycline
485_14144,R,,,S,S,,,S,S,S
485_4094,R,S,,S,S,,,,,
485_5380,S,S,,S,R,,,,,
485_8801,S,S,,S,R,,,,,
485_285,S,R,R,S,R,,,,S,R
485_13452,S,,,S,R,,,S,S,S
485_5648,S,S,,S,S,,,,,
485_8252,S,S,,S,S,,,,,
485_17839,,S,,S,R,,R,,,
485_8368,S,S,,S,S,,,,,
485_776,S,S,,S,R,R,,R,S,R
485_5474,S,S,,S,R,,,,,
485_13094,S,,,S,S,,,S,S,S
485_13406,S,,,S,S,,,S,S,S
485_8564,S,S,,S,R,,,,,
485_760,S,S,,S,R,R,,R,S,R
485_9703,S,,,S,R,,,R,S,S
485_14242,S,,,S,R,,,S,S,S
485_17874,,S,,S,R,,R,,,
485_15579,S,,,S,R,,,S,S,S
485_4264,R,S,,S,R,,,,,
485_4374,S,S,,S,R,,,,,
485_4437,S,S,,S,S,,,,,
485_16954,S,,,S,S,,,S,S,S
485_135,S,S,R,S,R,,,,S,R
485_3927,S,S,,S,S,,,,,
485_13087,R,,,S,S,,,S,S,S
485_6857,S,S,,S,S,,,,,
485_13740,S,,,S,R,,,R,S,S
485_9678,S,,,S,R,,,R,S,S
485_14907,S,,,S,R,,,S,S,S
485_66,S,S,R,S,R,,,,S,R
485_9261,S,S,,S,S,,,,,
485_4467,S,S,,S,R,,,,,
485_16631,S,,,S,R,,,R,S,S
485_773,S,S,,S,R,R,,R,S,R
485_16525,S,,,S,S,,,S,S,S
485_5355,S,S,,S,S,,,,,
485_582,R,S,,S,,,,,,
485_14810,S,,,S,S,,,S,S,S
485_5260,S,S,,S,R,,,,,
485_13816,S,,,S,S,,,S,S,S
485_151,S,S,S,S,R,,,,S,R
485_3669,S,S,,S,S,,,,,
485_14802,S,,,S,R,,,R,S,S
485_8383,S,S,,S,S,,,,,
485_13360,S,,,S,R,,,R,S,S
485_4041,S,S,,S,S,,,,,
485_17550,S,,,S,S,,,S,S,S
485_9283,S,S,,S,S,,,,,
485_15599,S,,,S,S,,,S,S,S
485_8743,S,S,,S,R,,,,,
485_6986,S,,,,S,,,,,
485_3753,S,S,,S,R,,,,,
485_4504,R,S,,S,S,,,,,
485_16699,S,,,S,S,,,S,S,S
485_696,S,S,,S,R,R,,R,S,R
485_14466,S,,,S,S,,,S,S,S
485_14855,S,,,S,S,,,S,S,S
485_14244,S,,,S,S,,,S,S,S
485_9649,S,,,S,S,,,R,S,S
485_13124,S,,,S,S,,,S,S,S
485_9216,S,S,,S,S,,,,,
485_9103,S,S,,S,S,,,,,
485_15563,S,,,S,S,,,S,S,S
485_3861,R,S,,S,R,,,,,
485_13723,S,,,S,S,,,S,S,S
485_5422,S,S,,S,R,,,,,
485_16526,S,,,S,S,,,R,S,S
485_13987,S,,,S,S,,,S,S,S
485_9416,S,S,,S,S,,,,,
485_4243,R,S,,S,R,,,,,
485_14390,S,,,S,S,,,S,S,S
485_17532,S,,,S,S,,,S,S,S
485_17548,S,,,S,S,,,S,S,S
485_700,S,S,,S,S,S,,R,S,
485_13823,S,,,S,R,,,S,S,S
