,Carbapenem,Cephem,Fluoroquinolone,Folate,Glycopeptide,Lincosamide,Macrolide,Oxazolidinone,Penicilin,Phenicol,Streptogramin,Tetracycline
1313_25731,,,,S,,,,,,,,
1313_27101,,,,R,,,S,,S,S,,R
1313_9189,,,,R,,,R,,R,R,,R
1313_32023,,,,S,,,S,,S,S,,S
1313_31224,,,,R,,,S,,,S,,R
1313_11093,,S,,R,,,,,,,,
1313_22982,,,,,,,S,,R,S,,R
1313_34164,,,,S,,,S,,S,S,,S
1313_42044,S,S,,S,,S,S,,S,,,S
1313_41968,S,S,,S,,S,S,,S,,,S
1313_24837,,,,R,,,R,,R,S,,R
1313_12041,,S,,R,,,,,,,,
1313_25772,,,,R,,,R,,R,S,,R
1313_33849,,,,S,,,S,,S,S,,S
1313_32828,,,,S,,,S,,S,S,,S
1313_12835,,S,,R,,,,,,,,
1313_32178,,,,S,,,S,,S,S,,R
1313_33855,,,,S,,,S,,S,S,,R
1313_12740,,S,,R,,,,,,,,
760833_3,S,S,S,S,S,S,S,S,S,S,S,S
1313_27295,,,,S,,,S,,S,S,,R
1313_33287,,,,R,,,R,,R,S,,R
760819_3,S,S,S,S,S,S,S,S,S,S,S,S
1313_33518,,,,S,,,S,,S,S,,S
1313_24845,,,,S,,,S,,S,S,,R
1313_24048,,,,R,,,S,,,S,,R
1313_10480,,R,,R,,,,,,,,
1313_11913,,S,,R,,,,,,,,
1313_20736,,,,R,,,S,,,R,,S
1313_9335,,,,S,,,S,,S,S,,S
1313_27401,,,,R,,,S,,S,S,,R
1313_32323,,,,S,,,,,,,,
1313_12077,,S,,R,,,,,,,,
1313_27312,,,,R,,,S,,S,S,,R
1313_42019,S,S,,S,,S,S,,S,,,S
1313_23414,,,,R,,,S,,S,S,,S
1313_10367,,S,,R,,,,,,,,
1313_31963,,,,S,,,S,,S,S,,S
1313_46784,,R,S,R,,S,S,,,S,,R
1313_30336,,,,,,,R,,R,R,,R
1313_23379,,,,R,,,R,,R,S,,R
1313_20572,,,,S,,,S,,,S,,S
1313_10369,,S,,R,,,,,,,,
1313_33637,,,,R,,,S,,S,S,,S
1313_30722,,,,R,,,S,,R,S,,S
1313_31515,,,,R,,,S,,S,S,,S
1313_33727,,,,R,,,S,,S,S,,R
1313_25293,,,,S,,,S,,S,S,,S
