,Carbapenem,Cephem,Fluoroquinolone,Folate,Glycopeptide,Lincosamide,Macrolide,Oxazolidinone,Penicilin,Phenicol,Streptogramin,Tetracycline
1313_27348,,,,S,,,S,,S,S,,S
1313_29949,,,,S,,,R,,S,S,,R
1313_10415,,S,,S,,,,,,,,
1313_29834,,,,S,,,S,,S,,,S
1313_10939,,S,,R,,,,,,,,
1313_11231,,S,,R,,,,,,,,
1313_32734,,,,R,,,S,,S,S,,R
1313_31587,,,,,,,S,,S,,,
1313_26030,,,,R,,,R,,,,,R
1313_12099,,S,,R,,,,,,,,
1313_11940,,S,,R,,,,,,,,
1313_31698,,,,R,,,R,,R,S,,S
1313_26670,,,,S,,,S,,S,S,,R
1313_46862,,S,S,S,,S,S,,,S,,S
1313_24081,,,,S,,,S,,S,S,,S
1313_25589,,,,R,,,R,,S,S,,R
1313_33581,,,,S,,,S,,S,S,,S
1313_27931,,,,S,,,S,,S,S,,S
1313_12991,,S,,S,,,,,,,,
1313_25125,,,,S,,,,,,,,
1313_26876,,,,R,,,S,,S,S,,S
1313_30327,,,,,,,R,,S,,,S
1313_24088,,,,S,,,S,,,S,,R
1313_20742,,,,S,,,S,,,S,,S
1313_32741,,,,S,,,S,,S,S,,R
1313_5486,,R,,,,,R,,,,,R
1313_6259,,R,,,,,S,,,S,,S
1313_34272,,,,,,,,,S,R,,
1313_10176,,S,,R,,,,,,,,
1313_33907,,,,S,,,S,,S,S,,S
1313_26949,,,,R,,,S,,S,S,,S
1313_12380,,S,,R,,,,,,,,
1313_33876,,,,S,,,S,,S,S,,R
1313_33677,,,,R,,,S,,S,S,,S
1313_22645,,,,S,,,S,,R,S,,R
1313_31989,,,,S,,,S,,S,S,,S
1313_12996,,S,,R,,,,,,,,
1313_11861,,S,,S,,,,,,,,
1313_22044,,,,S,,,S,,S,,,S
1313_25876,,,,S,,,,,S,,,
1313_30920,,,,R,,,S,,R,S,,S
1313_25194,,,,S,,,,,,,,
1313_20955,,,,S,,,S,,R,S,,S
1313_26807,,,,S,,,S,,S,S,,R
1313_21777,,,,R,,,S,,S,,,S
1313_46937,,R,S,S,,R,R,,,S,,R
1313_10660,,S,,R,,,,,,,,
1313_30724,,,,R,,,R,,R,S,,S
1313_22066,,,,R,,,S,,S,,,S
1313_22723,,,,,,,S,,S,,,
1313_32933,,,,,,,S,,S,,,S
1313_30272,,,,,,,,,S,,,
1313_22672,,,,S,,,S,,S,S,,S
1313_46788,,R,S,S,,S,S,,,S,,S
1313_31305,,,,R,,,S,,,S,,S
1313_24449,,,,R,,,S,,S,S,,R
1313_47045,,S,S,S,,S,S,,,S,,S
1313_32441,,,,,,,S,,R,S,,R
1313_47018,,S,S,S,,S,S,,,R,,R
1313_25726,,,,R,,,S,,R,S,,R
1313_5960,,,,,,,R,,,R,,R
1313_12866,,S,,S,,,,,,,,
1313_33491,,,,R,,,R,,S,R,,R
1313_31019,,,,R,,,S,,S,S,,S
1313_34380,,,,,,,R,,S,S,,
1313_9324,,,,S,,,S,,S,S,,S
1313_23885,,,,S,,,S,,S,S,,R
1313_25836,,,,S,,,S,,S,S,,S
1313_10738,,S,,S,,,,,,,,
1313_13038,,S,,R,,,,,,,,
1313_34046,,,,R,,,S,,S,S,,
1313_12605,,S,,R,,,,,,,,
1313_31825,,,,R,,,S,,S,S,,S
1313_46705,,S,S,R,,S,S,,,S,,S
1313_9986,,S,,R,,,,,,,,
1313_33723,,,,R,,,R,,S,S,,R
1313_46612,,S,S,R,,S,R,,,S,,R
1313_23487,,,,S,,,S,,S,S,,S
1313_23695,,,,S,,,S,,,S,,R
1313_21697,,,,S,,,S,,S,,,S
1313_32349,,,,S,,,,,,,,
1313_21044,,,,S,,,R,,,S,,R
1313_11650,,S,,R,,,,,,,,
1313_25828,,,,S,,,S,,S,S,,S
1313_30361,,,,,,,R,,R,S,,R
1313_9195,,,,R,,,R,,R,R,,R
1313_20718,,,,S,,,R,,R,S,,S
1313_24437,,,,R,,,R,,S,S,,R
1313_22495,,,,R,,,S,,S,S,,S
1313_31805,,,,S,,,S,,S,S,,S
1313_31287,,,,R,,,S,,R,S,,R
1313_33350,,,,S,,,S,,S,S,,R
1313_25716,,,,S,,,S,,S,S,,R
1313_9199,,,,S,,,S,,S,S,,S
1313_6719,,,,,,,R,,,S,,R
1313_11263,,S,,R,,,,,,,,
1313_33743,,,,S,,,,,,,,
1313_30876,,,,R,,,S,,S,S,,S
1313_32014,,,,S,,,S,,S,S,,S
1313_26699,,,,S,,,S,,S,S,,S
1313_25593,,,,R,,,R,,S,,,R
1313_25484,,,,S,,,,,,,,
1313_11422,,S,,R,,,,,,,,
1313_30255,,,,R,,,S,,S,S,,S
1313_22951,,,,,,,S,,S,S,,R
1313_21051,,,,S,,,S,,R,S,,S
1313_32210,,,,R,,,R,,R,S,,R
1313_30010,,,,,,,S,,,S,,S
1313_10121,,S,,S,,,,,,,,
1313_12007,,S,,S,,,,,,,,
1313_12116,,S,,R,,,,,,,,
1313_29962,,,,R,,,S,,S,S,,S
1313_31015,,,,R,,,S,,,S,,S
1313_30124,,,,,,,R,,S,,,R
1313_32041,,,,R,,,S,,R,S,,R
1313_47001,,S,S,S,,S,S,,,S,,S
1313_28043,,,,,,,S,,S,S,,
1313_10377,,S,,R,,,,,,,,
1313_27153,,,,S,,,S,,S,S,,R
1313_28015,,,,S,,,S,,S,R,,S
1313_26018,,,,S,,,R,,R,S,,R
1313_20346,,,,R,,,S,,R,S,,R
1313_46556,,S,S,S,,S,S,,,S,,S
1313_8705,,,,S,,,S,,S,S,,S
1313_32656,,,,S,,,,,,,,
1313_31749,,,,S,,,S,,R,S,,S
1313_10251,,S,,R,,,,,,,,
1313_31117,,,,R,,,S,,,R,,R
1313_10136,,R,,R,,,,,,,,
1313_9034,,,,S,,,S,,S,S,,S
1313_33734,,,,S,,,S,,S,S,,R
1313_11124,,S,,R,,,,,,,,
1313_25530,,,,R,,,S,,S,,,R
1313_33458,,,,R,,,S,,S,S,,S
1313_10793,,R,,R,,,,,,,,
1313_25251,,,,,,,S,,S,S,,S
1313_31465,,,,R,,,S,,S,S,,R
1069626_3,,,,R,S,,R,,R,S,,R
1313_46754,,R,S,S,,S,R,,,S,,S
1313_25960,,,,,,,S,,S,,,R
1313_30029,,,,R,,,S,,S,R,,R
1313_7015,S,S,S,S,S,S,S,S,S,S,,
1313_31818,,,,S,,,S,,S,S,,S
1313_20496,,,,S,,,S,,,S,,S
1313_27391,,,,R,,,S,,S,S,,S
1313_24975,,,,,,,S,,,S,,R
1313_33661,,,,R,,,S,,S,S,,R
1313_24000,,,,R,,,S,,S,S,,R
1313_25517,,,,R,,,R,,S,,,R
1313_11276,,S,,R,,,,,,,,
1313_32650,,,,R,,,,,S,,,
1313_30819,,,,R,,,S,,R,S,,S
1313_25789,,,,S,,,R,,R,S,,S
1313_20062,,,,,,,S,,S,,,
1313_12117,,S,,R,,,,,,,,
1313_24533,,,,S,,,S,,S,S,,S
1313_10650,,S,,R,,,,,,,,
1313_23691,,,,R,,,R,,S,S,,R
1313_10344,,S,,R,,,,,,,,
1313_11082,,S,,S,,,,,,,,
1313_30582,,,,,,,R,,S,,,
1313_26708,,,,S,,,S,,S,S,,S
1313_23855,,,,R,,,S,,S,S,,R
1313_12846,,S,,R,,,,,,,,
1313_22666,,,,R,,,R,,S,S,,R
1313_34208,,,,S,,,S,,S,S,,S
1313_24863,,,,R,,,R,,R,S,,R
1313_24995,,,,R,,,,,,,,
1313_10401,,S,,R,,,,,,,,
1313_11438,,S,,R,,,,,,,,
1313_27259,,,,R,,,S,,S,R,,R
1313_26401,,,,R,,,,,S,,,
1313_32175,,,,S,,,S,,S,S,,R
1313_11745,,S,,S,,,,,,,,
1313_32703,,,,R,,,R,,R,S,,R
1313_26582,,,,R,,,R,,R,S,,R
1313_24351,,,,R,,,R,,S,S,,S
1313_46789,,S,S,R,,S,S,,,S,,S
1313_34330,,,,R,,,R,,R,R,,R
1313_10435,,S,,S,,,,,,,,
1313_34339,,,,R,,,R,,S,R,,R
1313_20025,,,,,,,S,,S,,,
1313_9099,,,,S,,,S,,S,S,,S
1313_25338,,,,S,,,S,,S,S,,S
1313_25237,,,,R,,,R,,R,S,,R
1313_24555,,,,S,,,S,,S,S,,S
1313_22623,,,,R,,,S,,S,,,S
1313_9308,,,,R,,,S,,R,S,,R
1313_12696,,S,,R,,,,,,,,
1313_29860,,,,R,,,S,,S,,,S
1313_26109,,,,R,,,,,S,,,
1313_31061,,,,R,,,R,,R,S,,R
1313_23840,,,,S,,,S,,R,S,,S
1313_32811,,,,S,,,S,,S,S,,S
1313_12274,,S,,R,,,,,,,,
1313_33560,,,,R,,,R,,R,S,,S
1313_33542,,,,S,,,S,,S,S,,S
1313_11975,,S,,R,,,,,,,,
1313_11847,,S,,S,,,,,,,,
1313_33412,,,,S,,,S,,S,S,,S
1313_12216,,R,,R,,,,,,,,
1313_27417,,,,R,,,S,,S,,,S
1313_31512,,,,R,,,S,,,S,,R
1313_12140,,S,,R,,,,,,,,
1313_23765,,,,R,,,R,,R,S,,R
1313_32168,,,,S,,,S,,S,S,,S
760797_3,R,R,S,R,S,S,R,S,R,S,S,S
1313_8856,,,,S,,,S,,S,S,,R
1313_11518,,S,,R,,,,,,,,
1313_32499,,,,S,,,S,,S,S,,R
1313_20725,,,,S,,,S,,,S,,R
1313_22035,,,,R,,,S,,S,,,R
1313_11439,,S,,R,,,,,,,,
1313_32451,,,,R,,,R,,R,S,,R
1313_30081,,,,R,,,S,,S,,,R
1313_24454,,,,R,,,S,,S,R,,R
1313_9336,,,,R,,,R,,R,S,,R
1313_27014,,,,S,,,S,,S,S,,R
1313_12979,,S,,R,,,,,,,,
1313_24563,,,,S,,,S,,S,S,,S
1313_27296,,,,S,,,S,,S,S,,R
1313_26684,,,,R,,,S,,S,S,,R
1313_30388,,,,,,,S,,R,S,,R
1313_32721,,,,S,,,S,,S,S,,R
1313_32496,,,,R,,,S,,S,S,,R
1313_23395,,,,S,,,S,,S,S,,S
1313_26469,,,,R,,,S,,S,S,,R
1313_32834,,,,S,,,S,,S,S,,S
1313_32107,,,,,,,R,,R,R,,R
1313_24477,,,,R,,,R,,R,R,,R
1313_22660,,,,S,,,S,,S,S,,S
1313_11614,,S,,R,,,,,,,,
1313_11147,,S,,R,,,,,,,,
1313_34240,,,,S,,,S,,S,S,,R
1313_23576,,,,S,,,R,,S,S,,S
1313_32673,,,,R,,,,,S,,,
1313_10495,,S,,R,,,,,,,,
1313_30925,,,,R,,,R,,R,S,,S
1313_24526,,,,S,,,R,,S,S,,R
1313_33090,,,,R,,,S,,S,S,,R
1313_12698,,S,,R,,,,,,,,
1313_32836,,,,S,,,S,,S,S,,S
1313_11354,,S,,S,,,,,,,,
1313_47015,,S,S,R,,S,R,,,S,,S
1313_12753,,S,,R,,,,,,,,
1313_34181,,,,R,,,S,,R,S,,S
1313_10231,,S,,R,,,,,,,,
1313_12704,,S,,R,,,,,,,,
1313_20648,,,,R,,,S,,,S,,S
1313_10149,,S,,R,,,,,,,,
1313_23267,,,,R,,,S,,S,S,,S
1313_12490,,S,,R,,,,,,,,
1313_22648,,,,R,,,R,,S,S,,R
1313_25587,,,,S,,,,,,R,,R
1313_20804,,,,S,,,S,,R,S,,R
1313_30597,,,,,,,R,,S,,,
1313_12653,,R,,R,,,,,,,,
1313_30405,,,,R,,,R,,R,S,,S
1313_31693,,,,R,,,S,,S,S,,
1313_25071,,,,S,,,,,,,,
1313_11999,,S,,R,,,,,,,,
1313_25768,,,,R,,,R,,R,,,R
1313_46700,,S,S,S,,S,S,,,S,,S
1313_32780,,,,R,,,R,,R,,,R
1313_30412,,,,S,,,S,,S,S,,R
1313_32027,,,,R,,,R,,R,S,,S
1313_10628,,S,,R,,,,,,,,
1313_20554,,,,S,,,S,,R,S,,S
1313_23850,,,,R,,,S,,,R,,R
1313_11478,,S,,R,,,,,,,,
1313_8631,,,,R,,,R,,R,R,,R
1313_30112,,,,,,,R,,R,,,R
1313_12782,,S,,S,,,,,,,,
1313_12911,,S,,R,,,,,,,,
1313_31013,,,,S,,,S,,,S,,S
1313_33569,,,,R,,,S,,S,S,,S
1313_10049,,R,,R,,,,,,,,
1313_33725,,,,S,,,S,,S,S,,R
1313_17321,S,S,,S,,S,S,,S,,,S
1313_25934,,,,,,,S,,S,,,R
1313_33906,,,,S,,,S,,S,S,,S
1313_31508,,,,R,,,S,,,S,,R
1313_5804,,S,,,,,S,,,S,,S
1313_17406,S,S,,S,,S,S,,S,,,S
1313_19998,,,,,,,R,,R,,,
1313_32944,,,,,,,S,,S,,,R
1313_12986,,S,,S,,,,,,,,
1313_30723,,,,S,,,R,,R,S,,S
1313_24943,,,,S,,,S,,S,S,,R
1313_25487,,,,R,,,,,S,,,
1313_31205,,,,R,,,S,,S,S,,R
1313_10899,,S,,R,,,,,,,,
1313_6561,,S,,,,,S,,,S,,S
1313_30984,,,,S,,,R,,R,S,,R
1313_33882,,,,S,,,S,,S,S,,R
1313_20525,,,,S,,,S,,,S,,S
1313_32864,,,,R,,,,,R,,,R
1313_25309,,,,S,,,S,,S,S,,S
1313_27941,,,,S,,,S,,S,S,,S
1313_19992,,,,S,,,S,,R,S,,S
1313_27169,,,,R,,,S,,R,S,,S
1313_24021,,,,S,,,S,,,S,,S
1313_12751,,S,,S,,,,,,,,
1313_24808,,,,S,,,S,,S,S,,R
1313_11763,,S,,R,,,,,,,,
1313_46926,,R,S,S,,S,S,,,S,,S
1313_26499,,,,S,,,,,,,,
1313_11109,,S,,R,,,,,,,,
1313_11071,,S,,S,,,,,,,,
1313_8721,,,,S,,,S,,S,S,,S
1313_33493,,,,S,,,S,,S,S,,S
1313_22031,,,,S,,,S,,S,,,S
1313_10332,,S,,R,,,,,,,,
1313_26040,,,,R,,,R,,S,R,,R
1313_11581,,R,,R,,,,,,,,
1313_26154,,,,S,,,S,,S,S,,R
1313_33426,,,,R,,,R,,R,S,,R
1313_33939,,,,R,,,S,,S,S,,R
1313_31854,,,,R,,,S,,S,R,,R
1313_20041,,,,R,,,S,,,R,,R
1313_47072,,S,S,S,,R,R,,,S,,R
1313_47052,,S,S,S,,S,S,,,S,,S
1313_9303,,,,R,,,R,,S,S,,R
1313_32912,,,,,,,S,,S,,,R
1313_23166,,,,,,,S,,S,,,
1313_11258,,S,,R,,,,,,,,
1313_31783,,,,S,,,S,,S,S,,S
1313_30195,,,,,,,R,,S,,,
1313_34206,,,,S,,,R,,S,S,,
1313_46878,,S,S,R,,S,S,,,S,,S
1313_34341,,,,R,,,R,,R,R,,R
1313_32382,,,,R,,,S,,S,,,R
1313_24727,,,,,,,S,,S,S,,R
1313_31049,,,,R,,,S,,S,S,,R
1313_31903,,,,S,,,S,,S,S,,S
1313_31912,,,,S,,,S,,S,S,,S
1313_13056,,S,,S,,,,,,,,
1313_32098,,,,,,,S,,R,S,,R
1313_26656,,,,S,,,S,,S,S,,R
1313_10219,,S,,S,,,,,,,,
1313_23511,,,,R,,,S,,S,S,,S
1313_47040,,S,S,R,,S,S,,,S,,S
1313_12183,,S,,R,,,,,,,,
1313_31653,,,,,,,,,,R,,S
1313_11142,,S,,R,,,,,,,,
1313_26589,,,,R,,,S,,S,S,,R
1313_34144,,,,S,,,S,,S,S,,S
1313_20479,,,,,,,S,,,S,,
1313_31312,,,,R,,,S,,,S,,S
1313_47042,,S,S,R,,S,R,,,S,,R
1313_33435,,,,R,,,R,,S,S,,S
1313_6015,,S,,,,,,,,S,,R
1313_25013,,,,S,,,,,,,,
1313_25540,,,,S,,,,,S,,,
1313_11052,,S,,R,,,,,,,,
1313_11558,,S,,R,,,,,,,,
1313_26688,,,,R,,,R,,R,,,S
1313_24692,,,,,,,S,,,S,,R
1313_30317,,,,,,,S,,R,,,S
1313_29958,,,,R,,,S,,S,S,,S
1313_23857,,,,R,,,S,,,S,,R
1313_33270,,,,S,,,S,,S,S,,R
1313_10502,,S,,R,,,,,,,,
1313_11537,,S,,R,,,,,,,,
1313_33247,,,,R,,,S,,S,,,R
1313_27061,,,,S,,,S,,S,S,,R
1313_30138,,,,R,,,S,,S,S,,S
1313_30927,,,,R,,,S,,R,S,,S
1313_17429,S,S,,S,,S,S,,S,,,S
1313_27130,,,,R,,,S,,S,S,,R
1313_32843,,,,R,,,S,,S,S,,S
1313_32195,,,,R,,,S,,R,R,,R
1313_30848,,,,S,,,S,,S,S,,S
1313_12057,,S,,R,,,,,,,,
1313_30474,,,,,,,S,,S,R,,R
1313_30738,,,,R,,,R,,S,S,,R
1313_12486,,S,,R,,,,,,,,
1313_33795,,,,R,,,R,,S,R,,R
1313_31090,,,,S,,,S,,,S,,S
1313_32321,,,,R,,,,,R,,,
1313_32638,,,,R,,,R,,R,S,,R
1313_6342,,,,,,,S,,,S,,S
1313_27360,,,,R,,,S,,R,S,,S
1313_47207,,R,S,R,,R,R,,,S,,R
1313_20702,,,,S,,,S,,R,S,,S
1313_25807,,,,,,,R,,R,S,,R
1313_30844,,,,S,,,S,,S,S,,S
1313_12361,,S,,R,,,,,,,,
1313_11198,,S,,R,,,,,,,,
1313_33060,,,,R,,,,,S,,,R
1313_32757,,,,R,,,S,,S,S,,R
1313_47117,,S,S,S,,S,S,,,S,,S
1313_27736,,,,,,,,,,S,,R
1313_27112,,,,R,,,S,,S,S,,R
1313_13864,,S,,,,,,,S,,,
1313_5578,,S,,,,,R,,,,,R
1313_31279,,,,R,,,S,,S,S,,S
1313_24669,,,,,,,S,,,S,,S
1313_10228,,S,,R,,,,,,,,
1313_31214,,,,R,,,S,,S,S,,R
1313_25145,,,,R,,,,,S,,,
1313_33813,,,,S,,,S,,S,S,,R
1313_28034,,,,R,,,S,,S,R,,R
1313_6236,,S,,,,,S,,,,,S
1313_22651,,,,,,,S,,S,,,S
1313_10240,,R,,R,,,,,,,,
1313_34367,,,,,,,R,,R,R,,
1313_7006,S,R,S,R,S,R,R,S,R,S,,R
1313_6377,,,,,,,S,,R,R,,R
1313_5942,,S,,,,,,,,S,,R
1313_25860,,,,R,,,,,,,,
1313_29756,,,,S,,,S,,S,,,S
1313_6949,,,,,,,,S,,,S,
1313_10870,,S,,R,,,,,,,,
1313_12903,,S,,R,,,,,,,,
1313_25886,,,,R,,,R,,S,R,,R
1313_30391,,,,R,,,S,,R,S,,S
1313_10896,,S,,R,,,,,,,,
1313_11622,,S,,R,,,,,,,,
1313_26975,,,,S,,,S,,R,S,,S
1313_30694,,,,S,,,S,,R,S,,S
1313_30709,,,,S,,,R,,S,S,,S
1313_25743,,,,R,,,,,R,,,
1313_17366,S,S,,S,,S,S,,S,,,S
1313_23682,,,,R,,,S,,R,S,,R
1313_26556,,,,R,,,S,,S,S,,R
1313_27329,,,,R,,,S,,S,S,,R
1313_31784,,,,S,,,S,,S,S,,S
1313_24999,,,,S,,,,,,,,
1313_31594,,,,,,,R,,S,,,
1313_30496,,,,,,,R,,S,,,
1313_31016,,,,S,,,S,,,S,,S
1313_25195,,,,R,,,,,R,,,
1313_22975,,,,,,,R,,R,S,,R
1313_32228,,,,S,,,S,,S,S,,R
1313_32450,,,,S,,,S,,S,S,,R
1313_30750,,,,S,,,S,,S,S,,S
1313_20713,,,,S,,,S,,,S,,S
1313_8599,,,,S,,,S,,S,S,,S
1313_17323,S,S,,S,,S,R,,S,,,S
1313_24523,,,,R,,,R,,S,S,,R
1313_24491,,,,,,,R,,S,,,R
1313_11703,,S,,R,,,,,,,,
1313_32313,,,,R,,,,,S,,,
1313_11679,,S,,R,,,,,,,,
1313_31168,,,,R,,,S,,,S,,R
1313_24386,,,,S,,,S,,S,S,,S
1313_17357,,,,S,,S,S,,S,,,S
1313_46679,,R,S,S,,S,R,,,S,,S
1313_6444,,S,,,,,S,,,S,,S
1313_33868,,,,S,,,S,,S,S,,R
1313_20260,,,,R,,,S,,S,S,,S
1313_27458,,,,S,,,S,,S,S,,S
1313_30575,,,,,,,S,,S,,,
1313_25509,,,,S,,,,,S,,,
1313_17002,S,S,,S,,S,S,,,,,S
1313_32464,,,,R,,,R,,R,S,,R
1313_23434,,,,R,,,S,,S,S,,S
1313_34230,,,,S,,,R,,S,S,,S
1313_22620,,,,R,,,S,,S,,,R
1313_28035,,,,,,,S,,S,S,,
1313_10742,,S,,R,,,,,,,,
1313_27106,,,,R,,,S,,R,S,,R
1313_25552,,,,R,,,S,,S,S,,R
1313_20987,,,,R,,,S,,S,S,,S
1313_11076,,S,,R,,,,,,,,
1313_25578,,,,R,,,S,,S,S,,R
1313_12065,,S,,R,,,,,,,,
1313_10171,,S,,S,,,,,,,,
1313_25943,,,,,,,S,,S,,,R
1313_11239,,S,,R,,,,,,,,
1313_11691,,S,,R,,,,,,,,
1313_30534,,,,,,,R,,S,,,
1313_25062,,,,R,,,,,,,,
1313_30375,,,,,,,S,,S,S,,R
1313_5846,,,,,,,R,,,R,,R
1313_26413,,,,R,,,,,S,,,
1313_17337,S,S,,S,,S,S,,S,,,S
1313_13059,,,,R,,,,,,,,
1313_33730,,,,R,,,S,,S,S,,R
1313_9361,,,,R,,,S,,S,S,,S
1313_27155,,,,S,,,S,,S,S,,R
1313_30987,,,,S,,,S,,S,S,,R
1313_31697,,,,S,,,S,,S,S,,S
1313_21716,,,,S,,,S,,S,,,R
1313_23431,,,,R,,,S,,S,S,,S
1313_46817,,R,S,R,,S,R,,,S,,R
1313_33948,,,,R,,,S,,S,R,,R
1313_13055,,,,S,,,,,,,,
1313_27023,,,,S,,,S,,S,S,,R
1313_26617,,,,S,,,S,,S,S,,R
1313_23547,,,,R,,,R,,R,S,,R
1313_26815,,,,R,,,R,,S,S,,R
1313_32059,,,,S,,,S,,S,S,,R
1313_30563,,,,,,,R,,S,,,
1313_30215,,,,,,,S,,S,,,
1313_34235,,,,S,,,R,,S,S,,S
1313_10058,,S,,R,,,,,,,,
1313_27935,,,,S,,,R,,S,S,,S
1313_46879,,S,S,S,,S,S,,,S,,S
1313_33297,,,,R,,,S,,R,S,,R
1313_24603,,,,R,,,S,,R,S,,R
1313_31459,,,,R,,,S,,,S,,R
1313_26942,,,,S,,,S,,S,S,,S
1313_22115,,,,S,,,S,,S,,,S
1313_27297,,,,R,,,S,,S,S,,R
1313_8879,,,,R,,,R,,R,S,,R
1313_32403,,,,S,,,,,,,,
1313_10322,,S,,R,,,,,,,,
1313_26633,,,,R,,,S,,S,S,,R
1313_28022,,,,R,,,S,,S,S,,R
1313_32344,,,,R,,,,,S,,,
1313_27037,,,,R,,,R,,S,S,,R
1313_30032,,,,R,,,S,,S,,,R
1313_12875,,S,,R,,,,,,,,
1313_31827,,,,S,,,S,,S,S,,S
1313_20163,,,,S,,,S,,,S,,S
1313_21050,,,,S,,,S,,R,S,,S
1313_25724,,,,R,,,S,,R,S,,R
1313_33556,,,,R,,,R,,R,S,,R
1313_10804,,S,,R,,,,,,,,
1313_25765,,,,R,,,,,,,,
1313_27036,,,,R,,,S,,R,S,,R
1313_29891,,,,S,,,S,,S,R,,R
1313_31125,,,,R,,,S,,S,S,,S
1313_11897,,S,,R,,,,,,,,
1313_23461,,,,S,,,S,,S,S,,S
1313_24368,,,,S,,,S,,S,S,,S
1313_24584,,,,R,,,S,,R,S,,R
1313_8231,,,,R,,,S,,S,S,,S
1313_7000,,,,,,,,S,,,S,
1313_23661,,,,R,,,R,,S,S,,R
1313_23612,,,,R,,,R,,R,S,,S
1313_22132,,,,R,,,S,,S,,,S
1313_32714,,,,S,,,,,,,,
1313_23202,,,,,,,R,,S,,,
1313_32149,,,,R,,,S,,R,S,,R
1313_10323,,S,,R,,,,,,,,
1313_46551,,R,S,S,,S,R,,,S,,S
1313_13021,,S,,R,,,,,,,,
1313_17359,,,,S,,S,S,,S,,,S
1313_25855,,,,R,,,S,,R,,,R
1313_31778,,,,R,,,R,,S,S,,S
1313_30869,,,,R,,,S,,S,S,,S
1313_23473,,,,R,,,S,,S,S,,S
1313_31136,,,,R,,,S,,,S,,R
1313_30654,,,,R,,,S,,,S,,
1313_27339,,,,R,,,S,,R,S,,S
1313_11293,,S,,R,,,,,,,,
1313_32480,,,,R,,,R,,R,S,,R
1313_25016,,,,S,,,,,,,,
1313_21517,,,,S,,,S,,S,,,S
1313_30845,,,,S,,,S,,S,S,,S
1313_30408,,,,R,,,S,,S,S,,R
1313_31848,,,,S,,,S,,S,S,,S
1313_9431,,,,S,,,S,,S,S,,S
1313_23665,,,,S,,,S,,,S,,S
1313_46959,,S,S,R,,S,S,,,S,,S
1313_11182,,S,,S,,,,,,,,
1313_30098,,,,R,,,S,,S,S,,R
1313_31816,,,,,,,S,,,,,R
1313_31790,,,,S,,,S,,S,S,,S
1313_30155,,,,,,,R,,S,,,
1313_9320,,,,S,,,R,,S,S,,S
1313_22656,,,,,,,R,,S,,,R
1313_32434,,,,,,,R,,R,R,,R
1313_11804,,S,,S,,,,,,,,
1313_26476,,,,R,,,S,,S,S,,R
1313_24911,,,,R,,,S,,R,S,,R
1313_10409,,S,,S,,,,,,,,
1313_20784,,,,S,,,S,,,S,,R
1313_32163,,,,R,,,R,,R,S,,R
1313_32215,,,,R,,,R,,R,R,,R
1313_33395,,,,S,,,S,,S,S,,S
1313_33388,,,,S,,,S,,S,S,,S
1313_26065,,,,R,,,R,,R,R,,R
1313_5982,,,,,,,R,,,R,,R
1313_27951,,,,S,,,R,,S,S,,S
1313_22862,,,,R,,,S,,S,S,,S
1313_33478,,,,S,,,S,,S,S,,S
1313_24390,,,,R,,,R,,R,S,,R
1313_46617,,S,S,S,,S,S,,,S,,S
1313_34321,,,,,,,,,R,R,,
1313_31909,,,,S,,,S,,S,S,,S
1313_24557,,,,S,,,S,,S,S,,S
1313_7669,,,,R,,,R,,R,S,,R
1313_46660,,R,S,R,,S,R,,,S,,S
1313_26509,,,,R,,,S,,S,S,,R
1313_11894,,S,,R,,,,,,,,
1313_26034,,,,R,,,,,S,,,
760859_3,R,R,S,R,S,S,R,S,R,S,S,S
1313_31202,,,,R,,,S,,,S,,R
1313_33900,,,,R,,,R,,R,S,,R
1313_33850,,,,R,,,R,,S,,,R
1313_24034,,,,S,,,S,,S,S,,S
1313_27082,,,,R,,,R,,R,,,R
1313_27293,,,,R,,,S,,R,S,,S
1313_6205,,R,,,,,R,,,R,,
1313_6211,,S,,,,,S,,,,,S
1313_47163,,R,S,S,,S,S,,,S,,S
1313_27056,,,,R,,,S,,S,S,,R
1313_12747,,S,,R,,,,,,,,
1313_25638,,,,R,,,,,S,,,
1313_20459,,,,R,,,S,,,R,,R
1313_28026,,,,S,,,S,,S,R,,R
1313_46798,,R,S,R,,R,R,,,S,,R
1313_8609,,,,S,,,S,,S,S,,R
1313_22955,,,,,,,S,,R,S,,R
1313_11132,,S,,R,,,,,,,,
1313_27461,,,,S,,,S,,S,S,,S
1313_25458,,,,R,,,,,,,,R
1313_12488,,S,,R,,,,,,,,
1313_22098,,,,R,,,S,,R,,,S
1313_24332,,,,S,,,S,,S,S,,S
1313_46536,,S,S,S,,S,S,,,S,,S
1313_10013,,S,,S,,,,,,,,
1313_33808,,,,S,,,S,,S,S,,R
1313_10523,,S,,S,,,,,,,,
1313_29835,,,,S,,,S,,S,,,S
1313_27102,,,,S,,,S,,S,S,,R
1313_32405,,,,R,,,R,,S,,,R
1313_26347,,,,,,,S,,,S,,R
1313_46907,,S,S,R,,R,R,,,S,,R
1313_25011,,,,R,,,,,S,,,
1313_11628,,S,,R,,,,,,,,
1313_20343,,,,S,,,S,,,S,,R
1313_12602,,S,,R,,,,,,,,
1313_27019,,,,S,,,S,,S,S,,R
1313_32573,,,,S,,,,,,,,
1313_17360,S,S,,S,,S,S,,S,,,S
1313_47210,,S,S,S,,R,R,,,S,,S
1313_24042,,,,S,,,S,,S,S,,R
